"Date","HomeTeam","AwayTeam","HomeScore","AwayScore","Outcome"
"1931-04-26","Landskrona BoIS","Helsingborgs IF",1,3,NA
"1931-05-01","IK Sleipner","Landskrona BoIS",5,2,NA
"1931-05-03","IK Sleipner","AIK",2,5,NA
"1931-05-03","Sandvikens IF","Örgryte IS",0,1,NA
"1931-05-03","IFK Göteborg","Helsingborgs IF",1,0,NA
"1931-05-03","IFK Eskilstuna","Landskrona BoIS",0,1,NA
"1931-05-03","IF Elfsborg","IFK Malmö",3,2,NA
"1931-05-06","Örgryte IS","Redbergslids IK",3,1,NA
"1931-05-08","GAIS","IFK Göteborg",0,2,NA
"1931-05-10","Örgryte IS","IFK Eskilstuna",4,2,NA
"1931-05-10","Sandvikens IF","Landskrona BoIS",2,4,NA
"1931-05-10","Redbergslids IK","IF Elfsborg",3,1,NA
"1931-05-10","AIK","Helsingborgs IF",5,1,NA
"1931-05-14","Sandvikens IF","IFK Malmö",3,0,NA
"1931-05-14","GAIS","IK Sleipner",5,1,NA
"1931-05-14","IFK Eskilstuna","IF Elfsborg",2,3,NA
"1931-05-14","AIK","Redbergslids IK",3,2,NA
"1931-05-17","IFK Göteborg","Landskrona BoIS",2,1,NA
"1931-05-17","AIK","Örgryte IS",1,1,NA
"1931-05-17","GAIS","IFK Eskilstuna",5,2,NA
"1931-05-17","Helsingborgs IF","IFK Malmö",4,1,NA
"1931-05-17","IF Elfsborg","IK Sleipner",4,1,NA
"1931-05-20","Redbergslids IK","IFK Göteborg",1,6,NA
"1931-05-22","Örgryte IS","GAIS",0,2,NA
"1931-05-25","Landskrona BoIS","AIK",1,3,NA
"1931-05-25","Redbergslids IK","Helsingborgs IF",1,5,NA
"1931-05-25","IK Sleipner","IFK Malmö",5,2,NA
"1931-05-25","IFK Eskilstuna","Sandvikens IF",0,2,NA
"1931-05-27","IFK Göteborg","Örgryte IS",3,1,NA
"1931-05-29","GAIS","Redbergslids IK",2,1,NA
"1931-05-31","Sandvikens IF","IF Elfsborg",0,1,NA
"1931-05-31","IFK Malmö","IFK Eskilstuna",4,2,NA
"1931-05-31","Landskrona BoIS","IK Sleipner",0,3,NA
"1931-05-31","Helsingborgs IF","GAIS",1,2,NA
"1931-05-31","IFK Göteborg","AIK",2,2,NA
"1931-06-07","Örgryte IS","IK Sleipner",3,2,NA
"1931-06-07","IFK Malmö","Redbergslids IK",2,6,NA
"1931-06-07","Landskrona BoIS","IFK Göteborg",2,3,NA
"1931-06-07","Helsingborgs IF","Sandvikens IF",4,3,NA
"1931-06-07","IF Elfsborg","GAIS",1,4,NA
"1931-06-07","AIK","IFK Eskilstuna",1,1,NA
