"Date","HomeTeam","AwayTeam","HomeScore","AwayScore","Outcome"
"1930-08-03","Örgryte IS","IFK Malmö",1,2,NA
"1930-08-03","Sandvikens IF","IK Sleipner",3,1,NA
"1930-08-03","Landskrona BoIS","GAIS",2,1,NA
"1930-08-03","Helsingborgs IF","Redbergslids IK",1,2,NA
"1930-08-03","IFK Eskilstuna","IFK Göteborg",7,1,NA
"1930-08-03","IF Elfsborg","AIK",2,3,NA
"1930-08-06","Redbergslids IK","GAIS",1,1,NA
"1930-08-08","Örgryte IS","IFK Göteborg",0,3,NA
"1930-08-10","Sandvikens IF","Helsingborgs IF",3,5,NA
"1930-08-10","Redbergslids IK","AIK",0,3,NA
"1930-08-10","Landskrona BoIS","IF Elfsborg",2,2,NA
"1930-08-10","IFK Eskilstuna","IK Sleipner",2,6,NA
"1930-08-13","GAIS","Örgryte IS",2,2,NA
"1930-08-15","IFK Göteborg","Redbergslids IK",1,1,NA
"1930-08-17","IFK Malmö","IK Sleipner",2,0,NA
"1930-08-17","Helsingborgs IF","IFK Eskilstuna",2,3,NA
"1930-08-17","GAIS","Landskrona BoIS",5,3,NA
"1930-08-17","AIK","Sandvikens IF",2,1,NA
"1930-08-20","IFK Göteborg","GAIS",0,5,NA
"1930-08-22","Redbergslids IK","Örgryte IS",1,6,NA
"1930-08-24","IK Sleipner","Helsingborgs IF",1,2,NA
"1930-08-24","IFK Malmö","Örgryte IS",2,2,NA
"1930-08-24","IFK Göteborg","Sandvikens IF",0,0,"AwayVictory"
"1930-08-24","IFK Eskilstuna","AIK",4,2,NA
"1930-08-24","IF Elfsborg","Redbergslids IK",7,1,NA
"1930-08-27","Helsingborgs IF","Landskrona BoIS",2,4,NA
"1930-08-31","IK Sleipner","Sandvikens IF",3,3,NA
"1930-08-31","Landskrona BoIS","Redbergslids IK",4,2,NA
"1930-08-31","AIK","GAIS",2,3,NA
"1930-08-31","Örgryte IS","IF Elfsborg",2,1,NA
"1930-08-31","IFK Malmö","IFK Göteborg",3,1,NA
"1930-09-07","IK Sleipner","GAIS",1,3,NA
"1930-09-07","Sandvikens IF","AIK",3,4,NA
"1930-09-07","Redbergslids IK","IFK Eskilstuna",1,1,NA
"1930-09-07","Landskrona BoIS","Örgryte IS",0,3,NA
"1930-09-07","IFK Göteborg","IFK Malmö",2,1,NA
"1930-09-07","IF Elfsborg","Helsingborgs IF",1,3,NA
"1930-09-14","Örgryte IS","Sandvikens IF",6,2,NA
"1930-09-14","Redbergslids IK","Landskrona BoIS",0,1,NA
"1930-09-14","IFK Malmö","AIK",1,1,NA
"1930-09-14","Helsingborgs IF","IF Elfsborg",2,2,NA
"1930-09-14","IFK Eskilstuna","GAIS",1,2,NA
"1930-09-21","Sandvikens IF","IFK Eskilstuna",0,4,NA
"1930-09-21","IFK Malmö","Landskrona BoIS",3,2,NA
"1930-09-21","Helsingborgs IF","AIK",3,2,NA
"1930-09-21","IFK Göteborg","IK Sleipner",3,2,NA
"1930-09-21","IF Elfsborg","Örgryte IS",3,2,NA
"1930-10-05","IK Sleipner","IF Elfsborg",6,1,NA
"1930-10-05","Sandvikens IF","IFK Göteborg",1,2,NA
"1930-10-05","GAIS","Helsingborgs IF",4,1,NA
"1930-10-05","IFK Eskilstuna","IFK Malmö",2,0,NA
"1930-10-05","AIK","Landskrona BoIS",4,5,NA
"1930-10-12","Örgryte IS","Helsingborgs IF",1,4,NA
"1930-10-12","Sandvikens IF","GAIS",3,5,NA
"1930-10-12","Landskrona BoIS","IFK Malmö",2,3,NA
"1930-10-12","IFK Eskilstuna","Redbergslids IK",1,2,NA
"1930-10-12","IF Elfsborg","IFK Göteborg",1,2,NA
"1930-10-12","AIK","IK Sleipner",3,2,NA
"1930-10-19","Redbergslids IK","IK Sleipner",1,0,NA
"1930-10-19","IFK Malmö","GAIS",2,3,NA
"1930-10-19","Landskrona BoIS","IFK Eskilstuna",3,1,NA
"1930-10-19","Helsingborgs IF","Örgryte IS",6,3,NA
"1930-10-19","IF Elfsborg","Sandvikens IF",0,3,NA
"1930-10-19","AIK","IFK Göteborg",3,1,NA
"1930-10-26","IK Sleipner","Redbergslids IK",4,3,NA
"1930-10-26","IFK Malmö","Helsingborgs IF",1,0,NA
"1930-10-26","Landskrona BoIS","Sandvikens IF",2,1,NA
"1930-10-26","IFK Göteborg","IF Elfsborg",4,0,NA
"1930-10-26","IFK Eskilstuna","Örgryte IS",4,2,NA
"1930-11-02","IK Sleipner","IFK Eskilstuna",6,2,NA
"1930-11-02","GAIS","IF Elfsborg",6,0,NA
"1930-11-02","AIK","IFK Malmö",9,0,NA
"1931-03-29","Redbergslids IK","IFK Malmö",3,3,NA
"1931-04-03","IFK Göteborg","IFK Eskilstuna",6,0,NA
"1931-04-05","GAIS","IFK Malmö",3,3,NA
"1931-04-05","Redbergslids IK","Sandvikens IF",1,4,NA
"1931-04-06","Örgryte IS","Landskrona BoIS",0,3,NA
"1931-04-06","Helsingborgs IF","IK Sleipner",4,1,NA
"1931-04-06","IF Elfsborg","IFK Eskilstuna",3,3,NA
"1931-04-12","IK Sleipner","Örgryte IS",1,1,NA
"1931-04-12","IFK Malmö","Sandvikens IF",3,0,NA
"1931-04-12","IFK Eskilstuna","Helsingborgs IF",1,2,NA
"1931-04-12","IF Elfsborg","Landskrona BoIS",1,2,NA
"1931-04-12","GAIS","AIK",4,4,NA
"1931-04-19","Helsingborgs IF","IFK Göteborg",0,0,NA
"1931-04-19","GAIS","Sandvikens IF",3,1,NA
"1931-04-19","AIK","IF Elfsborg",4,1,NA
"1931-04-26","Örgryte IS","AIK",1,1,NA
"1931-04-26","IK Sleipner","IFK Göteborg",0,0,NA
"1931-04-26","Sandvikens IF","Redbergslids IK",1,1,NA
"1931-04-26","IFK Malmö","IF Elfsborg",2,1,NA
