"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1948-08-08","Örebro SK","IS Halmia",2,1
"1948-08-08","GAIS","Jönköpings Södra IF",2,0
"1948-08-08","IF Elfsborg","Landskrona BoIS",0,0
"1948-08-15","Degerfors IF","Örebro SK",3,1
"1948-08-19","Landskrona BoIS","Helsingborgs IF",1,4
"1948-08-19","GAIS","IF Elfsborg",1,2
"1948-08-22","Örebro SK","IFK Norrköping",2,2
"1948-08-22","Malmö FF","Landskrona BoIS",5,0
"1948-08-22","Helsingborgs IF","Degerfors IF",1,0
"1948-08-22","IFK Göteborg","GAIS",1,2
"1948-08-22","IF Elfsborg","Jönköpings Södra IF",4,4
"1948-08-22","AIK","IS Halmia",3,1
"1948-08-29","Örebro SK","GAIS",3,2
"1948-08-29","IFK Norrköping","Jönköpings Södra IF",0,0
"1948-08-29","IS Halmia","IF Elfsborg",0,2
"1948-08-29","IFK Göteborg","Malmö FF",4,4
"1948-08-29","Degerfors IF","Landskrona BoIS",4,0
"1948-08-29","AIK","Helsingborgs IF",3,2
"1948-09-05","Malmö FF","AIK",5,0
"1948-09-05","Landskrona BoIS","IFK Norrköping",3,1
"1948-09-05","Jönköpings Södra IF","IS Halmia",3,2
"1948-09-05","Helsingborgs IF","Örebro SK",5,3
"1948-09-05","GAIS","Degerfors IF",1,0
"1948-09-05","IF Elfsborg","IFK Göteborg",0,1
"1948-09-12","IFK Norrköping","Helsingborgs IF",0,2
"1948-09-12","Landskrona BoIS","IF Elfsborg",2,2
"1948-09-12","Jönköpings Södra IF","GAIS",2,1
"1948-09-12","IS Halmia","Örebro SK",1,0
"1948-09-12","Degerfors IF","Malmö FF",2,1
"1948-09-12","AIK","IFK Göteborg",0,3
"1948-09-26","Örebro SK","IF Elfsborg",2,3
"1948-09-26","IFK Norrköping","GAIS",5,0
"1948-09-26","Helsingborgs IF","Malmö FF",1,1
"1948-09-26","IS Halmia","Degerfors IF",1,1
"1948-09-26","IFK Göteborg","Landskrona BoIS",5,2
"1948-09-26","AIK","Jönköpings Södra IF",5,1
"1948-10-03","Malmö FF","Örebro SK",4,2
"1948-10-03","Landskrona BoIS","IS Halmia",0,2
"1948-10-03","Jönköpings Södra IF","IFK Göteborg",0,2
"1948-10-03","GAIS","Helsingborgs IF",4,0
"1948-10-03","IF Elfsborg","AIK",4,2
"1948-10-03","Degerfors IF","IFK Norrköping",2,1
"1948-10-17","Örebro SK","Jönköpings Södra IF",2,2
"1948-10-17","Malmö FF","GAIS",0,1
"1948-10-17","Helsingborgs IF","IF Elfsborg",3,0
"1948-10-17","IS Halmia","IFK Norrköping",1,1
"1948-10-17","IFK Göteborg","Degerfors IF",1,3
"1948-10-17","AIK","Landskrona BoIS",0,1
"1948-10-24","IFK Norrköping","IFK Göteborg",4,2
"1948-10-24","Landskrona BoIS","Örebro SK",1,2
"1948-10-24","Jönköpings Södra IF","Helsingborgs IF",3,1
"1948-10-24","GAIS","IS Halmia",1,0
"1948-10-24","IF Elfsborg","Malmö FF",2,1
"1948-10-24","Degerfors IF","AIK",0,1
"1948-10-31","IFK Norrköping","Malmö FF",2,2
"1948-10-31","Landskrona BoIS","Jönköpings Södra IF",1,1
"1948-10-31","IS Halmia","Helsingborgs IF",2,2
"1948-10-31","IFK Göteborg","Örebro SK",4,1
"1948-10-31","Degerfors IF","IF Elfsborg",5,0
"1948-10-31","AIK","GAIS",0,2
"1948-11-07","Örebro SK","AIK",0,2
"1948-11-07","Malmö FF","IS Halmia",6,0
"1948-11-07","Jönköpings Södra IF","Degerfors IF",2,2
"1948-11-07","Helsingborgs IF","IFK Göteborg",2,0
"1948-11-07","GAIS","Landskrona BoIS",6,0
"1948-11-07","IF Elfsborg","IFK Norrköping",1,4
"1949-03-27","Malmö FF","Degerfors IF",2,0
"1949-03-27","Helsingborgs IF","IFK Norrköping",1,3
"1949-03-27","IFK Göteborg","AIK",3,2
