"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1973-04-14","Örebro SK","IFK Norrköping",1,1
"1973-04-14","IF Saab","Örgryte IS",1,1
"1973-04-14","Malmö FF","IF Elfsborg",4,2
"1973-04-17","AIK","IK Sirius",0,1
"1973-04-18","Östers IF","Åtvidabergs FF",0,1
"1973-04-18","Hammarby IF","Landskrona BoIS",0,3
"1973-04-18","GAIS","Djurgårdens IF",2,0
"1973-04-23","IFK Norrköping","Hammarby IF",1,1
"1973-04-23","Örgryte IS","Östers IF",0,1
"1973-04-23","Åtvidabergs FF","Malmö FF",3,2
"1973-04-23","IK Sirius","Örebro SK",0,0
"1973-04-23","Landskrona BoIS","GAIS",0,1
"1973-04-23","IF Elfsborg","AIK",1,1
"1973-04-23","Djurgårdens IF","IF Saab",1,0
"1973-04-28","IF Saab","Landskrona BoIS",1,1
"1973-04-28","GAIS","IFK Norrköping",4,2
"1973-04-28","IF Elfsborg","IK Sirius",1,1
"1973-04-28","AIK","Åtvidabergs FF",1,2
"1973-04-29","Östers IF","Djurgårdens IF",2,1
"1973-04-29","Malmö FF","Örgryte IS",4,0
"1973-04-29","Hammarby IF","Örebro SK",2,0
"1973-05-06","Örebro SK","GAIS",1,2
"1973-05-06","Åtvidabergs FF","IF Elfsborg",2,1
"1973-05-06","IK Sirius","Hammarby IF",0,0
"1973-05-06","Landskrona BoIS","Östers IF",0,3
"1973-05-06","Djurgårdens IF","Malmö FF",3,1
"1973-05-07","Örgryte IS","AIK",2,0
"1973-05-08","IFK Norrköping","IF Saab",0,2
"1973-05-10","Örgryte IS","Hammarby IF",2,1
"1973-05-10","AIK","Östers IF",1,1
"1973-05-13","Åtvidabergs FF","GAIS",2,0
"1973-05-13","IK Sirius","Malmö FF",2,1
"1973-05-13","Landskrona BoIS","IFK Norrköping",1,1
"1973-05-13","IF Elfsborg","IF Saab",1,2
"1973-05-13","Djurgårdens IF","Örebro SK",0,0
"1973-05-16","IFK Norrköping","IK Sirius",6,0
"1973-05-17","Östers IF","IF Elfsborg",2,0
"1973-05-17","Örebro SK","Landskrona BoIS",0,1
"1973-05-17","IF Saab","Åtvidabergs FF",1,3
"1973-05-17","Malmö FF","AIK",2,0
"1973-05-17","Hammarby IF","Djurgårdens IF",4,1
"1973-05-17","GAIS","Örgryte IS",1,1
"1973-05-27","Åtvidabergs FF","Hammarby IF",4,1
"1973-05-27","IK Sirius","Landskrona BoIS",2,3
"1973-05-27","Malmö FF","Östers IF",2,4
"1973-05-27","IF Elfsborg","GAIS",0,2
"1973-05-27","Djurgårdens IF","IFK Norrköping",2,2
"1973-05-28","Örgryte IS","Örebro SK",1,5
"1973-05-28","AIK","IF Saab",4,1
"1973-05-31","IFK Norrköping","Örgryte IS",2,2
"1973-05-31","Hammarby IF","GAIS",1,0
"1973-06-03","Östers IF","IK Sirius",1,0
"1973-06-03","Örebro SK","Åtvidabergs FF",0,2
"1973-06-03","IF Saab","Malmö FF",0,1
"1973-06-03","Landskrona BoIS","Djurgårdens IF",2,0
"1973-06-03","Hammarby IF","IF Elfsborg",0,1
"1973-06-03","GAIS","AIK",1,3
"1973-06-06","Landskrona BoIS","Malmö FF",0,1
