"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1937-08-01","Örgryte IS","Helsingborgs IF",3,1
"1937-08-01","Sandvikens IF","IF Elfsborg",2,2
"1937-08-01","Malmö FF","IK Sleipner",1,1
"1937-08-01","Landskrona BoIS","IFK Göteborg",1,3
"1937-08-01","IK Brage","Gårda BK",4,2
"1937-08-01","AIK","GAIS",3,1
"1937-08-04","Helsingborgs IF","Landskrona BoIS",2,0
"1937-08-06","GAIS","Örgryte IS",2,0
"1937-08-08","Helsingborgs IF","IFK Göteborg",0,2
"1937-08-08","IK Sleipner","Landskrona BoIS",6,0
"1937-08-08","Sandvikens IF","IK Brage",0,3
"1937-08-08","Gårda BK","AIK",3,1
"1937-08-08","IF Elfsborg","Örgryte IS",4,0
"1937-08-11","GAIS","IFK Göteborg",1,4
"1937-08-13","Örgryte IS","Gårda BK",1,1
"1937-08-15","IF Elfsborg","Gårda BK",2,3
"1937-08-15","Sandvikens IF","AIK",3,3
"1937-08-15","IFK Göteborg","IK Brage",1,3
"1937-08-15","GAIS","IK Sleipner",2,4
"1937-08-18","Malmö FF","Helsingborgs IF",1,3
"1937-08-20","Örgryte IS","GAIS",2,2
"1937-08-22","Helsingborgs IF","IK Sleipner",4,2
"1937-08-22","Gårda BK","Landskrona BoIS",1,1
"1937-08-22","GAIS","Sandvikens IF",0,3
"1937-08-22","IK Brage","Malmö FF",5,0
"1937-08-22","AIK","IFK Göteborg",1,1
"1937-08-27","Gårda BK","IFK Göteborg",3,2
"1937-08-29","Örgryte IS","IF Elfsborg",5,1
"1937-08-29","IK Sleipner","GAIS",1,0
"1937-08-29","Landskrona BoIS","Helsingborgs IF",1,0
"1937-08-29","IK Brage","Sandvikens IF",2,3
"1937-08-29","AIK","Malmö FF",4,0
"1937-09-05","Sandvikens IF","Landskrona BoIS",1,0
"1937-09-05","Malmö FF","IK Brage",1,2
"1937-09-05","Helsingborgs IF","Örgryte IS",3,1
"1937-09-05","IFK Göteborg","AIK",1,2
"1937-09-05","IF Elfsborg","GAIS",2,1
"1937-09-12","Örgryte IS","Malmö FF",1,1
"1937-09-12","IK Sleipner","IFK Göteborg",1,0
"1937-09-12","Landskrona BoIS","Gårda BK",3,1
"1937-09-12","GAIS","IK Brage",0,2
"1937-09-12","IF Elfsborg","Sandvikens IF",1,0
"1937-09-12","AIK","Helsingborgs IF",1,1
"1937-09-26","Sandvikens IF","GAIS",5,2
"1937-09-26","Helsingborgs IF","Malmö FF",2,1
"1937-09-26","IFK Göteborg","IK Sleipner",5,1
"1937-09-26","Gårda BK","IF Elfsborg",1,3
"1937-09-26","IK Brage","Örgryte IS",2,1
"1937-09-26","AIK","Landskrona BoIS",1,1
"1937-10-03","Landskrona BoIS","Malmö FF",0,0
"1937-10-10","IK Sleipner","Gårda BK",3,2
"1937-10-10","Sandvikens IF","Helsingborgs IF",2,0
"1937-10-10","Malmö FF","IFK Göteborg",2,0
"1937-10-10","Landskrona BoIS","Örgryte IS",2,0
"1937-10-10","GAIS","AIK",0,2
"1937-10-10","IK Brage","IF Elfsborg",1,1
"1937-10-17","Örgryte IS","Landskrona BoIS",2,1
"1937-10-17","Malmö FF","GAIS",1,0
"1937-10-17","Helsingborgs IF","Sandvikens IF",2,0
"1937-10-17","Gårda BK","IK Sleipner",1,1
"1937-10-17","IF Elfsborg","IFK Göteborg",3,0
"1937-10-17","AIK","IK Brage",2,2
"1937-10-24","Sandvikens IF","IK Sleipner",0,2
"1937-10-24","Landskrona BoIS","IF Elfsborg",1,0
"1937-10-24","Helsingborgs IF","AIK",0,3
"1937-10-24","IFK Göteborg","Malmö FF",1,2
"1937-10-24","IK Brage","GAIS",0,1
"1937-10-31","IK Sleipner","Helsingborgs IF",1,0
"1937-10-31","Malmö FF","Sandvikens IF",0,3
"1937-10-31","Gårda BK","IK Brage",1,0
"1937-10-31","AIK","IF Elfsborg",4,1
"1937-11-07","IK Sleipner","Örgryte IS",3,0
"1937-11-07","Malmö FF","AIK",2,0
"1937-11-07","IFK Göteborg","Sandvikens IF",0,1
"1937-11-07","IF Elfsborg","Helsingborgs IF",1,2
"1937-11-07","IK Brage","Landskrona BoIS",2,3
"1937-11-14","Örgryte IS","IK Sleipner",1,4
"1938-03-27","GAIS","IF Elfsborg",2,4
"1938-04-03","Gårda BK","Sandvikens IF",1,0
"1938-04-03","GAIS","Landskrona BoIS",0,4
"1938-04-10","IFK Göteborg","Landskrona BoIS",1,4
"1938-04-10","Örgryte IS","IK Brage",3,0
"1938-04-10","IK Sleipner","IF Elfsborg",3,1
"1938-04-10","Helsingborgs IF","Gårda BK",0,1
"1938-04-18","IK Sleipner","IK Brage",4,1
"1938-04-18","Malmö FF","Örgryte IS",2,1
"1938-04-18","GAIS","Helsingborgs IF",1,2
"1938-04-18","IF Elfsborg","AIK",2,0
"1938-04-18","Sandvikens IF","IFK Göteborg",0,0
"1938-04-24","Örgryte IS","Sandvikens IF",4,0
"1938-04-24","Landskrona BoIS","IK Sleipner",3,3
"1938-04-24","IF Elfsborg","Malmö FF",2,1
"1938-04-24","IK Brage","Helsingborgs IF",1,2
"1938-04-24","AIK","Gårda BK",1,2
"1938-04-27","Gårda BK","GAIS",0,0
"1938-04-29","IFK Göteborg","Örgryte IS",0,0
"1938-05-01","IK Sleipner","Sandvikens IF",1,1
"1938-05-01","Landskrona BoIS","GAIS",4,0
"1938-05-01","Helsingborgs IF","IF Elfsborg",3,0
"1938-05-01","Gårda BK","Malmö FF",0,0
"1938-05-01","IK Brage","AIK",5,4
"1938-05-04","Malmö FF","Landskrona BoIS",1,1
"1938-05-04","Örgryte IS","IFK Göteborg",1,3
"1938-05-06","IK Sleipner","AIK",3,0
"1938-05-06","GAIS","Gårda BK",0,1
"1938-05-08","Sandvikens IF","Malmö FF",1,0
"1938-05-08","Landskrona BoIS","AIK",2,2
"1938-05-08","IFK Göteborg","Helsingborgs IF",0,1
"1938-05-08","IF Elfsborg","IK Brage",6,4
"1938-05-11","Gårda BK","Örgryte IS",1,1
"1938-05-13","IFK Göteborg","GAIS",0,0
"1938-05-15","Sandvikens IF","Gårda BK",1,1
"1938-05-15","Helsingborgs IF","IK Brage",5,1
"1938-05-15","GAIS","Malmö FF",1,1
"1938-05-15","IF Elfsborg","IK Sleipner",2,0
"1938-05-15","AIK","Örgryte IS",1,3
"1938-05-20","IFK Göteborg","Gårda BK",3,2
"1938-05-22","Landskrona BoIS","Sandvikens IF",3,1
"1938-05-22","Örgryte IS","AIK",1,3
"1938-05-22","IK Brage","IK Sleipner",0,0
"1938-05-22","Malmö FF","IF Elfsborg",2,1
"1938-05-26","IK Sleipner","Malmö FF",1,1
"1938-05-26","Gårda BK","Helsingborgs IF",1,1
"1938-05-26","IF Elfsborg","Landskrona BoIS",3,2
"1938-05-26","IK Brage","IFK Göteborg",4,1
"1938-05-26","AIK","Sandvikens IF",3,2
"1938-05-29","Sandvikens IF","Örgryte IS",0,2
"1938-05-29","Malmö FF","Gårda BK",0,0
"1938-05-29","Landskrona BoIS","IK Brage",3,1
"1938-05-29","Helsingborgs IF","GAIS",2,3
"1938-05-29","IFK Göteborg","IF Elfsborg",0,2
"1938-05-29","AIK","IK Sleipner",3,1
