"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1960-04-18","Örgryte IS","Jönköpings Södra IF",2,1
"1960-04-18","IFK Norrköping","IFK Malmö",0,0
"1960-04-18","Helsingborgs IF","IFK Göteborg",1,3
"1960-04-18","Djurgårdens IF","Sandvikens IF",1,4
"1960-04-18","Degerfors IF","AIK",5,4
"1960-04-20","Malmö FF","Hammarby IF",2,1
"1960-04-24","Sandvikens IF","Malmö FF",2,1
"1960-04-24","Jönköpings Södra IF","Helsingborgs IF",1,0
"1960-04-24","IFK Göteborg","Degerfors IF",5,3
"1960-04-24","AIK","IFK Norrköping",1,3
"1960-04-26","Hammarby IF","Örgryte IS",2,5
"1960-04-27","IFK Malmö","Djurgårdens IF",3,0
"1960-05-01","Örgryte IS","IFK Malmö",1,2
"1960-05-01","IFK Norrköping","IFK Göteborg",7,0
"1960-05-01","Malmö FF","AIK",0,0
"1960-05-01","Jönköpings Södra IF","Hammarby IF",2,3
"1960-05-01","Helsingborgs IF","Sandvikens IF",3,4
"1960-05-01","Djurgårdens IF","Degerfors IF",1,1
"1960-05-08","Sandvikens IF","Örgryte IS",0,1
"1960-05-08","Hammarby IF","Helsingborgs IF",1,2
"1960-05-08","IFK Göteborg","Jönköpings Södra IF",1,0
"1960-05-08","Degerfors IF","IFK Norrköping",4,4
"1960-05-11","IFK Malmö","Malmö FF",1,0
"1960-05-11","AIK","Djurgårdens IF",1,2
"1960-05-15","Örgryte IS","IFK Norrköping",4,2
"1960-05-15","Sandvikens IF","IFK Göteborg",2,2
"1960-05-15","Malmö FF","Djurgårdens IF",4,0
"1960-05-15","Jönköpings Södra IF","AIK",1,0
"1960-05-15","Helsingborgs IF","Degerfors IF",2,4
"1960-05-15","Hammarby IF","IFK Malmö",0,0
"1960-05-19","AIK","Hammarby IF",2,1
"1960-05-22","IFK Norrköping","Helsingborgs IF",2,0
"1960-05-22","IFK Malmö","Sandvikens IF",3,0
"1960-05-22","IFK Göteborg","Malmö FF",1,1
"1960-05-22","Djurgårdens IF","Örgryte IS",0,1
"1960-05-22","Degerfors IF","Jönköpings Södra IF",2,0
"1960-05-25","Djurgårdens IF","IFK Norrköping",0,2
"1960-05-26","Örgryte IS","AIK",7,1
"1960-05-26","Malmö FF","Degerfors IF",1,1
"1960-05-26","Jönköpings Södra IF","Sandvikens IF",0,2
"1960-05-26","Helsingborgs IF","IFK Malmö",1,2
"1960-05-26","Hammarby IF","IFK Göteborg",2,0
"1960-06-06","Sandvikens IF","Hammarby IF",4,1
"1960-06-06","IFK Norrköping","Malmö FF",3,1
"1960-06-06","IFK Malmö","Jönköpings Södra IF",3,1
"1960-06-06","IFK Göteborg","Djurgårdens IF",4,0
"1960-06-06","Degerfors IF","Örgryte IS",2,2
"1960-06-08","Djurgårdens IF","Jönköpings Södra IF",2,1
"1960-06-09","Örgryte IS","IFK Göteborg",2,1
"1960-06-09","IFK Norrköping","Hammarby IF",6,0
"1960-06-09","Malmö FF","Helsingborgs IF",2,1
"1960-06-09","Degerfors IF","Sandvikens IF",0,3
"1960-06-09","AIK","IFK Malmö",0,1
"1960-06-12","Sandvikens IF","IFK Norrköping",1,4
"1960-06-12","IFK Malmö","Degerfors IF",1,0
"1960-06-12","Jönköpings Södra IF","Malmö FF",1,2
"1960-06-12","Helsingborgs IF","Örgryte IS",1,3
"1960-06-12","Hammarby IF","Djurgårdens IF",2,0
"1960-06-12","IFK Göteborg","AIK",1,1
"1960-06-15","IFK Malmö","IFK Göteborg",4,2
"1960-06-15","Helsingborgs IF","Djurgårdens IF",2,1
"1960-06-15","AIK","Sandvikens IF",1,1
"1960-06-16","Örgryte IS","Malmö FF",2,0
"1960-06-16","IFK Norrköping","Jönköpings Södra IF",5,0
"1960-06-16","Degerfors IF","Hammarby IF",2,7
"1960-06-19","AIK","Helsingborgs IF",2,1
"1960-08-07","IFK Göteborg","IFK Malmö",1,1
"1960-08-07","Djurgårdens IF","Helsingborgs IF",1,2
"1960-08-09","Hammarby IF","Degerfors IF",5,1
"1960-08-10","Sandvikens IF","AIK",1,1
"1960-08-11","Malmö FF","Örgryte IS",2,0
"1960-08-11","Jönköpings Södra IF","IFK Norrköping",0,4
"1960-08-14","Örgryte IS","Hammarby IF",7,0
"1960-08-14","IFK Norrköping","AIK",4,2
"1960-08-14","Malmö FF","Sandvikens IF",4,0
"1960-08-14","Helsingborgs IF","Jönköpings Södra IF",2,0
"1960-08-14","Djurgårdens IF","IFK Malmö",1,1
"1960-08-14","Degerfors IF","IFK Göteborg",3,2
"1960-08-17","IFK Malmö","IFK Norrköping",0,1
