"Date","HomeTeam","AwayTeam","HomeScore","AwayScore","Outcome"
"1944-05-18","IFK Norrköping","IS Halmia",4,1,NA
"1944-05-18","Helsingborgs IF","Malmö FF",2,2,NA
"1944-05-18","Halmstads BK","GAIS",1,0,NA
"1944-05-18","IFK Göteborg","Degerfors IF",3,3,NA
"1944-05-18","IF Elfsborg","IK Brage",5,2,NA
"1944-05-21","Malmö FF","IFK Göteborg",3,1,NA
"1944-05-21","IS Halmia","Helsingborgs IF",5,2,NA
"1944-05-21","GAIS","IFK Norrköping",0,3,NA
"1944-05-21","Degerfors IF","IF Elfsborg",2,0,NA
"1944-05-21","IK Brage","Sandvikens IF",3,2,NA
"1944-05-21","AIK","Halmstads BK",1,0,NA
"1944-05-26","IFK Göteborg","GAIS",6,1,NA
"1944-05-26","IFK Norrköping","AIK",1,2,NA
"1944-05-29","Sandvikens IF","IFK Norrköping",0,1,NA
"1944-05-29","Halmstads BK","IS Halmia",1,3,NA
"1944-05-29","IF Elfsborg","Helsingborgs IF",6,1,NA
"1944-05-29","IK Brage","Degerfors IF",0,1,NA
"1944-05-29","AIK","Malmö FF",1,2,NA
"1944-06-04","Sandvikens IF","IF Elfsborg",0,6,NA
"1944-06-04","Degerfors IF","IS Halmia",1,3,NA
"1944-06-04","IK Brage","IFK Norrköping",2,1,NA
"1944-06-04","AIK","Helsingborgs IF",2,0,NA
"1944-06-11","IFK Norrköping","IF Elfsborg",5,0,NA
"1944-06-11","Malmö FF","Halmstads BK",7,0,NA
"1944-06-11","Helsingborgs IF","IFK Göteborg",0,2,NA
"1944-06-11","IS Halmia","Sandvikens IF",3,2,NA
"1944-06-11","GAIS","IK Brage",2,1,NA
"1944-06-11","Degerfors IF","AIK",0,0,"HomeVictory"
