"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1971-04-12","Östers IF","Hammarby IF",0,0
"1971-04-12","Örgryte IS","IFK Luleå",2,3
"1971-04-12","IFK Norrköping","Örebro SK",1,0
"1971-04-12","Malmö FF","IF Elfsborg",1,0
"1971-04-12","Djurgårdens IF","Landskrona BoIS",3,1
"1971-04-14","AIK","Åtvidabergs FF",0,0
"1971-04-18","Örebro SK","AIK",1,3
"1971-04-18","Åtvidabergs FF","Djurgårdens IF",4,0
"1971-04-18","IFK Luleå","Östers IF",2,2
"1971-04-18","Landskrona BoIS","Örgryte IS",1,1
"1971-04-18","Hammarby IF","Malmö FF",1,1
"1971-04-18","IF Elfsborg","IFK Norrköping",0,1
"1971-04-24","AIK","Östers IF",1,1
"1971-04-25","Örebro SK","Åtvidabergs FF",0,2
"1971-04-25","IFK Norrköping","Djurgårdens IF",0,1
"1971-04-25","Malmö FF","Örgryte IS",2,0
"1971-04-25","Hammarby IF","IFK Luleå",0,2
"1971-04-25","IF Elfsborg","Landskrona BoIS",0,1
"1971-05-02","Östers IF","Malmö FF",2,2
"1971-05-02","Örgryte IS","IFK Norrköping",1,1
"1971-05-02","Åtvidabergs FF","IF Elfsborg",3,0
"1971-05-02","IFK Luleå","AIK",0,4
"1971-05-02","Landskrona BoIS","Hammarby IF",0,0
"1971-05-02","Djurgårdens IF","Örebro SK",1,2
"1971-05-09","Östers IF","Djurgårdens IF",0,0
"1971-05-09","Örebro SK","IFK Luleå",0,0
"1971-05-09","IFK Norrköping","Landskrona BoIS",1,0
"1971-05-09","Malmö FF","Åtvidabergs FF",1,0
"1971-05-09","IF Elfsborg","Hammarby IF",3,2
"1971-05-09","AIK","Örgryte IS",1,1
"1971-05-12","Hammarby IF","AIK",2,0
"1971-05-16","Örgryte IS","Östers IF",1,0
"1971-05-16","Åtvidabergs FF","IFK Norrköping",1,1
"1971-05-16","IFK Luleå","IF Elfsborg",1,0
"1971-05-16","Landskrona BoIS","Örebro SK",2,0
"1971-05-16","Djurgårdens IF","Malmö FF",4,3
"1971-05-31","Östers IF","Åtvidabergs FF",2,2
"1971-05-31","Örgryte IS","Djurgårdens IF",1,3
"1971-05-31","Örebro SK","Hammarby IF",0,0
"1971-05-31","IFK Norrköping","IFK Luleå",0,0
"1971-05-31","Malmö FF","Landskrona BoIS",2,2
"1971-05-31","AIK","IF Elfsborg",3,1
"1971-06-03","Åtvidabergs FF","Örgryte IS",1,1
"1971-06-03","IFK Luleå","Malmö FF",1,3
"1971-06-03","Landskrona BoIS","Östers IF",0,0
"1971-06-03","IF Elfsborg","Örebro SK",4,1
"1971-06-03","Djurgårdens IF","AIK",1,2
"1971-06-13","Östers IF","IF Elfsborg",0,0
"1971-06-13","Örgryte IS","Hammarby IF",2,0
"1971-06-13","Åtvidabergs FF","Landskrona BoIS",4,1
"1971-06-13","Malmö FF","Örebro SK",1,1
"1971-06-13","AIK","IFK Norrköping",0,0
"1971-06-14","Djurgårdens IF","IFK Luleå",5,1
"1971-06-17","Örebro SK","Östers IF",2,1
"1971-06-17","IFK Norrköping","Malmö FF",0,0
"1971-06-17","IFK Luleå","Åtvidabergs FF",0,3
"1971-06-17","Landskrona BoIS","AIK",0,0
"1971-06-17","Hammarby IF","Djurgårdens IF",1,0
"1971-06-17","IF Elfsborg","Örgryte IS",2,1
"1971-06-23","Östers IF","IFK Norrköping",1,1
"1971-06-23","Örgryte IS","Örebro SK",1,2
"1971-06-23","Åtvidabergs FF","Hammarby IF",3,0
"1971-06-23","Malmö FF","AIK",5,1
"1971-06-23","IFK Luleå","Landskrona BoIS",1,0
"1971-06-23","Djurgårdens IF","IF Elfsborg",1,2
"1971-06-30","Hammarby IF","IFK Norrköping",1,2
"1971-08-11","AIK","Malmö FF",0,4
"1971-08-12","Örebro SK","Örgryte IS",1,1
"1971-08-12","IFK Norrköping","Östers IF",2,0
"1971-08-12","Landskrona BoIS","IFK Luleå",3,2
"1971-08-12","Hammarby IF","Åtvidabergs FF",2,1
"1971-08-12","IF Elfsborg","Djurgårdens IF",0,1
"1971-08-17","Djurgårdens IF","Östers IF",2,1
"1971-08-19","Örgryte IS","AIK",1,0
"1971-08-19","Åtvidabergs FF","Malmö FF",0,2
"1971-08-19","IFK Luleå","Örebro SK",0,1
"1971-08-19","Landskrona BoIS","IFK Norrköping",1,1
"1971-08-19","Hammarby IF","IF Elfsborg",1,0
"1971-08-24","Östers IF","Örgryte IS",3,2
"1971-08-24","Örebro SK","Landskrona BoIS",1,1
"1971-08-24","IFK Norrköping","Åtvidabergs FF",0,3
