"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"2018-04-01","Hammarby IF","IK Sirius",3,1
"2018-04-01","BK Häcken","Kalmar FF",1,0
"2018-04-01","Östersunds FK","Djurgårdens IF",0,1
"2018-04-01","Trelleborgs FF","IFK Göteborg",1,3
"2018-04-02","IFK Norrköping","IF Brommapojkarna",2,1
"2018-04-02","AIK","Dalkurd FF",2,0
"2018-04-02","GIF Sundsvall","Örebro SK",0,0
"2018-04-02","IF Elfsborg","Malmö FF",1,2
"2018-04-07","Örebro SK","IFK Norrköping",1,1
"2018-04-08","Kalmar FF","IF Elfsborg",1,0
"2018-04-08","Djurgårdens IF","Trelleborgs FF",1,1
"2018-04-08","Dalkurd FF","Östersunds FK",3,0
"2018-04-09","Malmö FF","AIK",1,1
"2018-04-09","IF Brommapojkarna","BK Häcken",2,0
"2018-04-10","IFK Göteborg","Hammarby IF",1,2
"2018-07-03","IK Sirius","GIF Sundsvall",1,3
"2018-04-13","GIF Sundsvall","Malmö FF",2,2
"2018-04-13","Trelleborgs FF","Örebro SK",1,2
"2018-04-14","IF Elfsborg","IK Sirius",0,1
"2018-04-14","BK Häcken","Dalkurd FF",3,0
"2018-04-15","IFK Norrköping","Kalmar FF",3,1
"2018-04-15","AIK","Djurgårdens IF",2,0
"2018-04-15","Östersunds FK","IFK Göteborg",2,1
"2018-04-16","Hammarby IF","IF Brommapojkarna",4,0
"2018-04-17","GIF Sundsvall","Trelleborgs FF",1,0
"2018-04-18","IK Sirius","BK Häcken",0,0
"2018-04-18","Kalmar FF","Östersunds FK",1,1
"2018-04-18","Djurgårdens IF","Malmö FF",3,0
"2018-04-18","Örebro SK","AIK",1,1
"2018-04-19","Hammarby IF","IFK Norrköping",2,1
"2018-04-19","IFK Göteborg","Dalkurd FF",1,0
"2018-04-19","IF Brommapojkarna","IF Elfsborg",0,2
"2018-04-21","Östersunds FK","Örebro SK",0,2
"2018-04-22","Dalkurd FF","GIF Sundsvall",2,2
"2018-04-22","BK Häcken","Hammarby IF",2,2
"2018-04-22","AIK","IFK Göteborg",2,0
"2018-04-22","Trelleborgs FF","Kalmar FF",0,1
"2018-04-23","IF Elfsborg","Djurgårdens IF",2,2
"2018-04-23","IFK Norrköping","IK Sirius",1,0
"2018-04-23","Malmö FF","IF Brommapojkarna",3,1
"2018-04-27","AIK","IK Sirius",2,0
"2018-04-28","IFK Göteborg","BK Häcken",2,1
"2018-04-29","GIF Sundsvall","IF Elfsborg",2,1
"2018-04-29","Djurgårdens IF","Hammarby IF",1,2
"2018-04-29","IFK Norrköping","Trelleborgs FF",1,2
"2018-04-29","Kalmar FF","Malmö FF",3,0
"2018-04-30","IF Brommapojkarna","Östersunds FK",0,4
"2018-04-30","Örebro SK","Dalkurd FF",3,2
"2018-05-02","IK Sirius","AIK",2,3
"2018-05-03","Malmö FF","Djurgårdens IF",1,0
"2018-08-04","Kalmar FF","IFK Göteborg",2,1
"2018-08-04","IF Brommapojkarna","Dalkurd FF",2,1
"2018-08-05","Hammarby IF","Trelleborgs FF",1,0
"2018-08-05","Örebro SK","BK Häcken",1,2
"2018-08-06","GIF Sundsvall","IFK Norrköping",1,1
"2018-08-06","IF Elfsborg","Östersunds FK",0,2
"2018-05-05","Hammarby IF","GIF Sundsvall",4,3
