"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1979-04-16","Landskrona BoIS","Djurgårdens IF",2,1
"1979-04-16","Östers IF","Halmstads BK",0,0
"1979-04-16","Malmö FF","Hammarby IF",1,0
"1979-04-16","IS Halmia","IFK Norrköping",0,4
"1979-04-16","IFK Göteborg","Kalmar FF",4,0
"1979-04-16","AIK","IF Elfsborg",0,1
"1979-04-22","IFK Sundsvall","Östers IF",1,0
"1979-04-22","IFK Norrköping","AIK",3,0
"1979-04-22","Hammarby IF","IS Halmia",0,1
"1979-04-22","Halmstads BK","Landskrona BoIS",2,1
"1979-04-22","IF Elfsborg","Åtvidabergs FF",0,0
"1979-04-22","Djurgårdens IF","IFK Göteborg",0,0
"1979-04-28","Kalmar FF","Malmö FF",0,1
"1979-04-29","Åtvidabergs FF","IFK Sundsvall",0,1
"1979-05-03","Östers IF","Landskrona BoIS",3,0
"1979-05-03","Åtvidabergs FF","Djurgårdens IF",2,1
"1979-05-03","Malmö FF","IF Elfsborg",3,0
"1979-05-03","Kalmar FF","IFK Norrköping",1,1
"1979-05-03","IS Halmia","IFK Sundsvall",0,1
"1979-05-03","IFK Göteborg","Hammarby IF",1,2
"1979-05-03","AIK","Halmstads BK",0,3
"1979-05-06","IFK Norrköping","Malmö FF",1,0
"1979-05-06","Djurgårdens IF","Östers IF",2,0
"1979-05-07","IFK Sundsvall","AIK",0,1
"1979-05-07","Landskrona BoIS","IFK Göteborg",0,0
"1979-05-07","Hammarby IF","Kalmar FF",2,2
"1979-05-07","Halmstads BK","Åtvidabergs FF",0,0
"1979-05-07","IF Elfsborg","IS Halmia",1,0
"1979-05-13","Hammarby IF","IF Elfsborg",1,2
"1979-05-14","Åtvidabergs FF","Östers IF",1,1
"1979-05-14","Malmö FF","Halmstads BK",2,2
"1979-05-14","Kalmar FF","IFK Sundsvall",3,0
"1979-05-14","IS Halmia","Djurgårdens IF",1,1
"1979-05-14","IFK Göteborg","IFK Norrköping",2,2
"1979-05-14","AIK","Landskrona BoIS",0,0
"1979-05-17","Östers IF","IFK Göteborg",0,2
"1979-05-17","IFK Sundsvall","Malmö FF",1,2
"1979-05-17","IFK Norrköping","Hammarby IF",5,0
"1979-05-17","Landskrona BoIS","Åtvidabergs FF",1,0
"1979-05-17","Halmstads BK","IS Halmia",3,2
"1979-05-17","IF Elfsborg","Kalmar FF",2,2
"1979-05-17","Djurgårdens IF","AIK",0,0
"1979-05-21","Östers IF","IFK Norrköping",2,0
"1979-05-21","Åtvidabergs FF","Hammarby IF",1,4
"1979-05-21","Landskrona BoIS","IF Elfsborg",0,3
"1979-05-21","IS Halmia","Malmö FF",1,1
"1979-05-21","IFK Göteborg","Halmstads BK",1,1
"1979-05-21","AIK","Kalmar FF",2,2
"1979-05-22","Djurgårdens IF","IFK Sundsvall",3,2
"1979-05-28","IFK Sundsvall","Landskrona BoIS",2,3
"1979-05-28","IFK Norrköping","Åtvidabergs FF",2,1
"1979-05-28","Kalmar FF","IS Halmia",2,0
"1979-05-28","Hammarby IF","AIK",2,1
"1979-05-28","Halmstads BK","Djurgårdens IF",4,1
"1979-05-28","IF Elfsborg","Östers IF",3,0
"1979-05-31","Östers IF","IS Halmia",4,0
