"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1966-04-24","Örgryte IS","Djurgårdens IF",1,3
"1966-04-24","IFK Norrköping","IFK Göteborg",4,1
"1966-04-24","Malmö FF","GAIS",2,0
"1966-04-24","IF Elfsborg","Örebro SK",2,1
"1966-04-24","AIK","IK Brage",4,0
"1966-05-01","Örebro SK","Örgryte IS",2,3
"1966-05-01","Malmö FF","AIK",2,0
"1966-05-01","GAIS","IFK Norrköping",1,1
"1966-05-01","IF Elfsborg","Degerfors IF",3,0
"1966-05-01","Djurgårdens IF","IFK Göteborg",2,0
"1966-05-01","IK Brage","Helsingborgs IF",2,2
"1966-05-05","Örgryte IS","Malmö FF",1,1
"1966-05-05","IFK Norrköping","Djurgårdens IF",3,0
"1966-05-08","Helsingborgs IF","Örebro SK",3,1
"1966-05-08","IFK Göteborg","IK Brage",3,2
"1966-05-08","Degerfors IF","GAIS",0,1
"1966-05-08","AIK","IF Elfsborg",1,2
"1966-05-12","Örgryte IS","IF Elfsborg",2,2
"1966-05-15","IFK Norrköping","IK Brage",3,1
"1966-05-15","Malmö FF","Örebro SK",3,3
"1966-05-15","IFK Göteborg","Helsingborgs IF",1,0
"1966-05-15","Degerfors IF","Djurgårdens IF",1,3
"1966-05-15","AIK","GAIS",0,0
"1966-05-22","Örebro SK","IFK Göteborg",2,1
"1966-05-22","Helsingborgs IF","IFK Norrköping",2,5
"1966-05-22","GAIS","Örgryte IS",3,2
"1966-05-22","IF Elfsborg","Malmö FF",2,2
"1966-05-22","IK Brage","Degerfors IF",1,0
"1966-05-25","Djurgårdens IF","AIK",1,0
"1966-05-26","IFK Norrköping","Örgryte IS",0,3
"1966-05-26","IFK Göteborg","Malmö FF",0,0
"1966-05-26","Degerfors IF","Helsingborgs IF",0,0
"1966-05-30","Helsingborgs IF","IF Elfsborg",1,1
"1966-05-30","Degerfors IF","AIK",2,4
"1966-05-30","IK Brage","GAIS",1,0
"1966-06-01","Djurgårdens IF","Örebro SK",3,0
"1966-06-07","GAIS","Djurgårdens IF",0,0
"1966-06-07","AIK","IFK Norrköping",1,0
"1966-06-09","Örgryte IS","IFK Göteborg",0,2
"1966-06-09","Örebro SK","Degerfors IF",2,1
"1966-06-09","Malmö FF","Helsingborgs IF",4,1
"1966-06-09","IF Elfsborg","IK Brage",3,0
"1966-06-12","IFK Norrköping","IF Elfsborg",2,0
"1966-06-12","Helsingborgs IF","Djurgårdens IF",2,4
"1966-06-12","IFK Göteborg","GAIS",1,0
"1966-06-12","Degerfors IF","Malmö FF",0,2
"1966-06-12","IK Brage","Örebro SK",1,5
"1966-06-12","AIK","Örgryte IS",3,1
"1966-06-16","Örgryte IS","Degerfors IF",3,1
"1966-06-16","Örebro SK","AIK",1,0
"1966-06-16","Malmö FF","IFK Norrköping",2,2
"1966-06-16","IF Elfsborg","IFK Göteborg",2,3
"1966-06-16","Djurgårdens IF","IK Brage",4,0
"1966-06-19","GAIS","Helsingborgs IF",2,3
"1966-08-03","Helsingborgs IF","AIK",2,2
"1966-08-03","IFK Göteborg","Degerfors IF",4,2
"1966-08-03","IK Brage","Örgryte IS",1,3
"1966-08-07","Örebro SK","IFK Norrköping",0,3
"1966-08-08","GAIS","IF Elfsborg",0,2
"1966-08-08","Djurgårdens IF","Malmö FF",3,0
"1966-08-11","Helsingborgs IF","Örgryte IS",2,2
"1966-08-11","IFK Göteborg","AIK",2,1
"1966-08-11","Djurgårdens IF","IF Elfsborg",0,0
"1966-08-11","Degerfors IF","IFK Norrköping",0,2
"1966-08-11","IK Brage","Malmö FF",2,1
"1966-08-14","GAIS","Örebro SK",0,3
"1966-08-18","Örgryte IS","Helsingborgs IF",1,1
"1966-08-18","Örebro SK","GAIS",0,1
"1966-08-18","IFK Norrköping","Degerfors IF",4,0
"1966-08-18","Malmö FF","IK Brage",3,0
"1966-08-18","IF Elfsborg","Djurgårdens IF",2,1
"1966-08-18","AIK","IFK Göteborg",4,1
"1966-08-21","Örebro SK","IF Elfsborg",3,1
"1966-08-21","Helsingborgs IF","Degerfors IF",4,2
"1966-08-21","IFK Göteborg","IFK Norrköping",3,3
"1966-08-21","Djurgårdens IF","Örgryte IS",3,0
"1966-08-21","IK Brage","AIK",1,2
"1966-08-25","GAIS","Malmö FF",3,1
"1966-08-28","Örgryte IS","IK Brage",4,1
"1966-08-28","IFK Norrköping","Örebro SK",6,1
"1966-08-28","IF Elfsborg","GAIS",1,1
"1966-08-28","Degerfors IF","IFK Göteborg",1,1
"1966-08-28","AIK","Helsingborgs IF",0,0
"1966-08-31","Malmö FF","Djurgårdens IF",0,2
"1966-09-01","Örgryte IS","IFK Norrköping",3,2
"1966-09-04","Örebro SK","Djurgårdens IF",1,2
"1966-09-04","Malmö FF","IFK Göteborg",1,2
"1966-09-04","GAIS","IK Brage",0,2
"1966-09-04","IF Elfsborg","Helsingborgs IF",3,3
"1966-09-04","AIK","Degerfors IF",4,1
"1966-09-08","IFK Norrköping","AIK",6,0
"1966-09-08","IFK Göteborg","Örgryte IS",1,2
"1966-09-08","Djurgårdens IF","GAIS",1,2
"1966-09-11","Degerfors IF","Örebro SK",2,2
"1966-09-11","IK Brage","IF Elfsborg",0,3
"1966-09-14","Helsingborgs IF","Malmö FF",1,0
"1966-09-22","Örgryte IS","GAIS",1,1
"1966-09-22","Malmö FF","IF Elfsborg",1,2
"1966-09-22","AIK","Djurgårdens IF",1,0
"1966-09-25","IFK Norrköping","Helsingborgs IF",0,0
"1966-09-25","IFK Göteborg","Örebro SK",3,2
"1966-09-25","Degerfors IF","IK Brage",4,1
"1966-10-02","Örebro SK","Malmö FF",2,2
"1966-10-02","Helsingborgs IF","IFK Göteborg",0,3
"1966-10-02","GAIS","AIK",0,1
"1966-10-02","IF Elfsborg","Örgryte IS",2,1
"1966-10-02","Djurgårdens IF","Degerfors IF",4,0
"1966-10-02","IK Brage","IFK Norrköping",1,3
"1966-10-09","IFK Norrköping","Malmö FF",3,0
"1966-10-09","Helsingborgs IF","GAIS",0,1
"1966-10-09","IFK Göteborg","IF Elfsborg",1,1
"1966-10-09","Degerfors IF","Örgryte IS",1,6
"1966-10-09","IK Brage","Djurgårdens IF",0,1
"1966-10-09","AIK","Örebro SK",3,1
"1966-10-13","GAIS","IFK Göteborg",1,5
"1966-10-16","Örgryte IS","AIK",1,3
"1966-10-16","Örebro SK","IK Brage",2,1
"1966-10-16","Malmö FF","Degerfors IF",1,2
"1966-10-16","IF Elfsborg","IFK Norrköping",2,1
"1966-10-16","Djurgårdens IF","Helsingborgs IF",2,0
"1966-10-20","IFK Göteborg","Djurgårdens IF",4,4
"1966-10-23","Örgryte IS","Örebro SK",3,3
"1966-10-23","IFK Norrköping","GAIS",0,0
"1966-10-23","Helsingborgs IF","IK Brage",1,5
"1966-10-23","Degerfors IF","IF Elfsborg",1,4
"1966-10-23","AIK","Malmö FF",1,2
"1966-10-30","Örebro SK","Helsingborgs IF",5,0
"1966-10-30","Malmö FF","Örgryte IS",2,2
"1966-10-30","GAIS","Degerfors IF",2,0
"1966-10-30","IF Elfsborg","AIK",0,1
"1966-10-30","Djurgårdens IF","IFK Norrköping",3,0
"1966-10-30","IK Brage","IFK Göteborg",0,2
