"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1988-04-10","GIF Sundsvall","Östers IF",0,1
"1988-04-10","Malmö FF","Örgryte IS",3,2
"1988-04-10","Djurgårdens IF","Västra Frölunda IF",4,2
"1988-04-11","IFK Göteborg","IK Brage",3,0
"1988-04-11","AIK","IFK Norrköping",2,0
"1988-04-12","GAIS","Hammarby IF",2,0
"1988-04-17","Östers IF","GAIS",1,0
"1988-04-17","Västra Frölunda IF","IFK Göteborg",0,0
"1988-04-17","IK Brage","AIK",2,1
"1988-04-18","Örgryte IS","Djurgårdens IF",1,0
"1988-04-18","IFK Norrköping","GIF Sundsvall",0,1
"1988-04-18","Hammarby IF","Malmö FF",2,1
"1988-04-23","IFK Göteborg","GIF Sundsvall",0,1
"1988-04-24","Östers IF","Djurgårdens IF",0,0
"1988-04-24","Västra Frölunda IF","AIK",3,0
"1988-04-24","IFK Norrköping","Malmö FF",3,1
"1988-04-24","Hammarby IF","Örgryte IS",0,1
"1988-04-24","IK Brage","GAIS",1,0
"1988-05-01","GIF Sundsvall","IK Brage",1,1
"1988-05-01","GAIS","IFK Norrköping",2,3
"1988-05-01","Djurgårdens IF","Hammarby IF",2,0
"1988-05-02","Örgryte IS","Västra Frölunda IF",2,0
"1988-05-02","AIK","IFK Göteborg",1,2
"1988-05-03","Malmö FF","Östers IF",2,1
"1988-05-08","GIF Sundsvall","Hammarby IF",2,1
"1988-05-08","Malmö FF","Djurgårdens IF",2,2
"1988-05-08","GAIS","Örgryte IS",1,3
"1988-05-08","IK Brage","Västra Frölunda IF",1,1
"1988-05-09","IFK Göteborg","IFK Norrköping",2,1
"1988-05-09","AIK","Östers IF",0,0
"1988-05-15","Östers IF","IFK Göteborg",0,1
"1988-05-15","Västra Frölunda IF","Malmö FF",0,2
"1988-05-15","Djurgårdens IF","GAIS",6,1
"1988-05-16","Örgryte IS","GIF Sundsvall",1,2
"1988-05-16","IFK Norrköping","IK Brage",3,0
"1988-05-16","Hammarby IF","AIK",1,2
"1988-05-18","GAIS","IFK Göteborg",0,1
"1988-05-19","Örgryte IS","Östers IF",1,2
"1988-05-19","GIF Sundsvall","AIK",2,0
"1988-05-19","Malmö FF","IK Brage",2,0
"1988-05-19","Hammarby IF","Västra Frölunda IF",1,2
"1988-05-19","Djurgårdens IF","IFK Norrköping",0,3
"1988-05-28","Västra Frölunda IF","GIF Sundsvall",1,1
"1988-05-29","Östers IF","Hammarby IF",1,1
"1988-05-29","IFK Norrköping","Örgryte IS",3,0
"1988-05-29","IFK Göteborg","Malmö FF",1,3
"1988-05-29","IK Brage","Djurgårdens IF",1,1
"1988-05-29","AIK","GAIS",0,0
"1988-06-05","GIF Sundsvall","Malmö FF",2,3
"1988-06-05","GAIS","Västra Frölunda IF",2,0
"1988-06-05","IK Brage","Hammarby IF",1,0
"1988-06-06","IFK Göteborg","Örgryte IS",2,1
"1988-06-06","AIK","Djurgårdens IF",0,0
"1988-06-07","IFK Norrköping","Östers IF",3,0
"1988-06-12","Östers IF","IK Brage",1,1
"1988-06-12","Västra Frölunda IF","IFK Norrköping",2,3
"1988-06-12","Malmö FF","GAIS",2,0
"1988-06-12","Djurgårdens IF","GIF Sundsvall",4,2
"1988-06-13","Örgryte IS","AIK",0,1
"1988-06-13","Hammarby IF","IFK Göteborg",2,1
"1988-06-16","IFK Norrköping","Hammarby IF",6,0
"1988-06-16","IFK Göteborg","Djurgårdens IF",1,1
"1988-06-16","IK Brage","Örgryte IS",1,1
"1988-06-16","AIK","Malmö FF",1,5
"1988-06-19","Östers IF","Västra Frölunda IF",1,2
"1988-06-19","Malmö FF","AIK",2,0
"1988-06-19","GAIS","GIF Sundsvall",1,1
"1988-06-19","Djurgårdens IF","IFK Göteborg",0,1
"1988-06-20","Hammarby IF","IFK Norrköping",0,0
"1988-06-22","Västra Frölunda IF","Östers IF",3,3
"1988-07-03","Örgryte IS","IK Brage",3,0
"1988-07-03","GIF Sundsvall","GAIS",1,1
"1988-07-17","Västra Frölunda IF","Djurgårdens IF",0,3
"1988-07-17","Hammarby IF","GAIS",1,2
"1988-07-19","Örgryte IS","Malmö FF",0,1
"1988-07-20","Östers IF","GIF Sundsvall",0,4
"1988-07-20","IFK Norrköping","AIK",0,1
"1988-07-20","IK Brage","IFK Göteborg",0,3
"1988-07-24","GIF Sundsvall","IFK Norrköping",2,2
"1988-07-24","Malmö FF","Hammarby IF",2,0
"1988-07-24","GAIS","Östers IF",1,0
"1988-07-24","Djurgårdens IF","Örgryte IS",1,1
"1988-07-25","IFK Göteborg","Västra Frölunda IF",1,1
"1988-07-26","AIK","IK Brage",2,2
"1988-08-02","Djurgårdens IF","Östers IF",2,2
"1988-08-03","GIF Sundsvall","IFK Göteborg",1,0
"1988-08-03","GAIS","IK Brage",2,1
"1988-08-04","Örgryte IS","Hammarby IF",3,0
"1988-08-04","Malmö FF","IFK Norrköping",2,1
"1988-08-04","AIK","Västra Frölunda IF",4,2
"1988-08-07","Västra Frölunda IF","Örgryte IS",0,1
