"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1959-04-19","IFK Norrköping","Örgryte IS",4,1
"1959-04-19","IFK Malmö","GAIS",3,0
"1959-04-19","Helsingborgs IF","Sandvikens IF",2,0
"1959-04-19","IFK Göteborg","Halmstads BK",3,0
"1959-04-19","Djurgårdens IF","Malmö FF",0,0
"1959-04-22","Hammarby IF","AIK",3,2
"1959-04-24","Örgryte IS","IFK Malmö",0,0
"1959-04-26","Sandvikens IF","IFK Göteborg",2,5
"1959-04-26","Malmö FF","Helsingborgs IF",1,1
"1959-04-26","Halmstads BK","Hammarby IF",0,2
"1959-04-26","GAIS","Djurgårdens IF",1,1
"1959-04-26","AIK","IFK Norrköping",0,0
"1959-05-01","Örgryte IS","AIK",3,1
"1959-05-01","Djurgårdens IF","Helsingborgs IF",1,1
"1959-05-03","IFK Norrköping","Halmstads BK",3,0
"1959-05-03","IFK Malmö","Djurgårdens IF",3,5
"1959-05-03","Helsingborgs IF","GAIS",1,2
"1959-05-03","Hammarby IF","Sandvikens IF",3,2
"1959-05-03","IFK Göteborg","Malmö FF",3,1
"1959-05-07","Sandvikens IF","IFK Norrköping",1,1
"1959-05-07","Malmö FF","Hammarby IF",4,1
"1959-05-07","Halmstads BK","Örgryte IS",3,1
"1959-05-07","AIK","IFK Malmö",1,0
"1959-05-09","IFK Göteborg","Djurgårdens IF",0,2
"1959-05-10","Örgryte IS","Sandvikens IF",3,1
"1959-05-10","IFK Norrköping","Malmö FF",3,0
"1959-05-10","Hammarby IF","GAIS",2,1
"1959-05-12","AIK","Halmstads BK",3,1
"1959-05-13","IFK Malmö","Helsingborgs IF",1,1
"1959-05-14","GAIS","IFK Göteborg",0,5
"1959-05-14","Djurgårdens IF","Hammarby IF",1,0
"1959-05-18","Malmö FF","Örgryte IS",3,3
"1959-05-18","Helsingborgs IF","IFK Göteborg",0,2
"1959-05-18","Halmstads BK","IFK Malmö",5,1
"1959-05-18","GAIS","IFK Norrköping",1,2
"1959-05-24","Örgryte IS","GAIS",3,1
"1959-05-24","IFK Norrköping","Djurgårdens IF",1,1
"1959-05-24","IFK Malmö","IFK Göteborg",1,3
"1959-05-24","Halmstads BK","Sandvikens IF",1,1
"1959-05-24","AIK","Malmö FF",1,3
"1959-05-27","Hammarby IF","Helsingborgs IF",3,2
"1959-05-30","IFK Göteborg","Hammarby IF",3,2
"1959-05-31","Sandvikens IF","IFK Malmö",3,2
"1959-05-31","Malmö FF","Halmstads BK",4,2
"1959-05-31","Helsingborgs IF","IFK Norrköping",4,1
"1959-05-31","GAIS","AIK",1,2
"1959-05-31","Djurgårdens IF","Örgryte IS",2,2
"1959-06-03","IFK Göteborg","Örgryte IS",0,3
"1959-06-03","Djurgårdens IF","Halmstads BK",3,0
"1959-06-04","Malmö FF","IFK Malmö",3,0
"1959-06-04","Helsingborgs IF","AIK",2,3
"1959-06-04","Hammarby IF","IFK Norrköping",3,2
"1959-06-04","GAIS","Sandvikens IF",0,2
"1959-06-07","Örgryte IS","Helsingborgs IF",2,1
"1959-06-07","Sandvikens IF","Malmö FF",1,0
"1959-06-07","IFK Norrköping","IFK Göteborg",2,3
"1959-06-07","IFK Malmö","Hammarby IF",4,0
"1959-06-07","Halmstads BK","GAIS",7,0
"1959-06-10","AIK","Djurgårdens IF",1,1
"1959-06-12","Hammarby IF","Örgryte IS",1,3
"1959-06-14","IFK Malmö","IFK Norrköping",2,1
"1959-06-14","Helsingborgs IF","Halmstads BK",0,3
"1959-06-14","IFK Göteborg","AIK",4,0
"1959-06-14","Djurgårdens IF","Sandvikens IF",2,2
"1959-06-16","GAIS","Malmö FF",1,2
"1959-06-17","Sandvikens IF","AIK",2,2
"1959-08-02","GAIS","Halmstads BK",0,2
"1959-08-05","AIK","Hammarby IF",2,3
"1959-08-06","Örgryte IS","IFK Norrköping",0,3
"1959-08-09","Sandvikens IF","Helsingborgs IF",5,4
"1959-08-09","Malmö FF","Djurgårdens IF",0,1
"1959-08-09","Halmstads BK","IFK Göteborg",1,1
"1959-08-09","GAIS","IFK Malmö",0,1
"1959-08-12","Helsingborgs IF","Malmö FF",2,3
"1959-08-13","IFK Norrköping","AIK",5,2
"1959-08-13","Djurgårdens IF","GAIS",6,0
"1959-08-14","IFK Malmö","Örgryte IS",0,1
"1959-08-16","Hammarby IF","Halmstads BK",4,2
"1959-08-16","IFK Göteborg","Sandvikens IF",7,0
"1959-08-19","Sandvikens IF","GAIS",3,2
"1959-08-19","Halmstads BK","Djurgårdens IF",0,1
"1959-08-19","AIK","Helsingborgs IF",1,2
"1959-08-20","Örgryte IS","IFK Göteborg",1,0
"1959-08-20","IFK Norrköping","Hammarby IF",5,1
"1959-08-20","IFK Malmö","Malmö FF",1,2
"1959-08-23","Malmö FF","Sandvikens IF",6,0
"1959-08-23","Helsingborgs IF","Örgryte IS",4,3
"1959-08-23","Hammarby IF","IFK Malmö",2,6
"1959-08-23","IFK Göteborg","IFK Norrköping",1,3
"1959-08-26","Djurgårdens IF","AIK",4,2
"1959-08-30","Örgryte IS","Djurgårdens IF",1,1
"1959-08-30","IFK Norrköping","Helsingborgs IF",5,3
"1959-08-30","IFK Malmö","Sandvikens IF",3,4
"1959-08-30","Halmstads BK","Malmö FF",0,2
"1959-08-30","AIK","GAIS",6,1
"1959-09-02","Hammarby IF","IFK Göteborg",4,2
"1959-09-03","GAIS","Örgryte IS",2,4
"1959-09-06","Sandvikens IF","Halmstads BK",0,1
"1959-09-06","Malmö FF","AIK",0,0
"1959-09-06","Helsingborgs IF","Hammarby IF",2,1
"1959-09-06","IFK Göteborg","IFK Malmö",5,0
"1959-09-06","Djurgårdens IF","IFK Norrköping",2,1
"1959-09-13","Örgryte IS","Hammarby IF",4,2
"1959-09-13","Sandvikens IF","Djurgårdens IF",2,1
"1959-09-13","IFK Norrköping","IFK Malmö",3,0
"1959-09-13","Malmö FF","GAIS",5,1
"1959-09-13","Halmstads BK","Helsingborgs IF",2,4
"1959-09-13","AIK","IFK Göteborg",1,1
"1959-09-18","IFK Göteborg","GAIS",3,2
"1959-09-20","Örgryte IS","Halmstads BK",6,2
"1959-09-20","IFK Norrköping","Sandvikens IF",2,1
"1959-09-20","IFK Malmö","AIK",2,1
"1959-09-20","Helsingborgs IF","Djurgårdens IF",1,1
"1959-09-20","Hammarby IF","Malmö FF",1,6
"1959-09-26","Djurgårdens IF","IFK Malmö",7,1
"1959-09-27","Sandvikens IF","Hammarby IF",0,0
"1959-09-27","Malmö FF","IFK Göteborg",2,3
"1959-09-27","Halmstads BK","IFK Norrköping",2,4
"1959-09-27","GAIS","Helsingborgs IF",2,6
"1959-09-27","AIK","Örgryte IS",2,4
"1959-10-01","Hammarby IF","Djurgårdens IF",0,2
"1959-10-02","Örgryte IS","Malmö FF",0,2
"1959-10-04","IFK Norrköping","GAIS",3,1
"1959-10-04","IFK Malmö","Halmstads BK",1,0
"1959-10-04","IFK Göteborg","Helsingborgs IF",1,0
"1959-10-04","AIK","Sandvikens IF",2,0
"1959-10-11","Sandvikens IF","Örgryte IS",3,5
