"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"2004-04-03","Landskrona BoIS","Helsingborgs IF",1,1
"2004-04-04","Kalmar FF","IFK Göteborg",0,0
"2004-04-04","AIK","GIF Sundsvall",1,0
"2004-04-05","Örebro SK","Halmstads BK",2,5
"2004-04-05","Trelleborgs FF","Djurgårdens IF",2,2
"2004-04-05","IF Elfsborg","Örgryte IS",1,2
"2004-04-06","Hammarby IF","Malmö FF",0,0
"2004-04-09","Malmö FF","Örebro SK",5,1
"2004-04-09","IFK Göteborg","IF Elfsborg",3,0
"2004-04-09","Halmstads BK","Trelleborgs FF",1,0
"2004-04-12","Örgryte IS","Hammarby IF",0,0
"2004-04-12","Helsingborgs IF","Kalmar FF",1,2
"2004-04-12","GIF Sundsvall","Landskrona BoIS",0,0
"2004-04-13","Djurgårdens IF","AIK",3,1
"2004-04-18","Landskrona BoIS","Örebro SK",0,1
"2004-04-18","GIF Sundsvall","Örgryte IS",3,0
"2004-04-18","AIK","Trelleborgs FF",0,0
"2004-04-19","IFK Göteborg","Halmstads BK",0,0
"2004-04-19","IF Elfsborg","Malmö FF",1,5
"2004-04-19","Helsingborgs IF","Djurgårdens IF",1,1
"2004-04-20","Kalmar FF","Hammarby IF",1,2
"2004-04-22","Örgryte IS","AIK",1,1
"2004-04-24","Malmö FF","IFK Göteborg",1,0
"2004-04-24","Örebro SK","Kalmar FF",1,2
"2004-04-24","Hammarby IF","IF Elfsborg",1,0
"2004-04-25","Trelleborgs FF","Landskrona BoIS",2,1
"2004-04-25","Halmstads BK","Helsingborgs IF",3,2
"2004-04-25","Djurgårdens IF","GIF Sundsvall",3,1
"2004-05-02","Örebro SK","Hammarby IF",1,2
"2004-05-02","Landskrona BoIS","Djurgårdens IF",2,0
"2004-05-02","Kalmar FF","GIF Sundsvall",2,1
"2004-05-03","Trelleborgs FF","Malmö FF",1,1
"2004-05-03","IF Elfsborg","Helsingborgs IF",1,1
"2004-05-03","AIK","Halmstads BK",0,2
"2004-05-04","Örgryte IS","IFK Göteborg",1,2
"2004-05-06","Malmö FF","AIK",0,0
"2004-05-09","Halmstads BK","Landskrona BoIS",5,3
"2004-05-09","GIF Sundsvall","IF Elfsborg",0,0
"2004-05-09","Djurgårdens IF","Kalmar FF",0,3
