"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1939-07-26","IK Sleipner","Malmö FF",3,2
"1939-07-26","Helsingborgs IF","Landskrona BoIS",3,1
"1939-07-26","Gårda BK","IFK Göteborg",1,2
"1939-07-26","IF Elfsborg","Örgryte IS",3,1
"1939-07-26","IK Brage","Sandvikens IF",5,3
"1939-07-26","AIK","Hammarby IF",2,1
"1939-07-30","Örgryte IS","IK Sleipner",4,1
"1939-07-30","Sandvikens IF","Helsingborgs IF",2,0
"1939-07-30","Malmö FF","AIK",0,0
"1939-07-30","Landskrona BoIS","Gårda BK",7,1
"1939-07-30","Hammarby IF","IF Elfsborg",1,4
"1939-07-30","IK Brage","IFK Göteborg",2,0
"1939-08-06","IK Sleipner","Landskrona BoIS",3,1
"1939-08-06","Sandvikens IF","Örgryte IS",1,1
"1939-08-06","IFK Göteborg","Hammarby IF",6,1
"1939-08-06","IF Elfsborg","IK Brage",8,0
"1939-08-06","AIK","Gårda BK",2,2
"1939-08-09","Helsingborgs IF","Malmö FF",2,1
"1939-08-11","Örgryte IS","IFK Göteborg",1,2
"1939-08-13","Malmö FF","IF Elfsborg",1,4
"1939-08-13","Landskrona BoIS","AIK",3,2
"1939-08-13","Hammarby IF","Sandvikens IF",2,1
"1939-08-13","Gårda BK","IK Sleipner",3,0
"1939-08-13","IK Brage","Helsingborgs IF",5,1
"1939-08-18","Örgryte IS","Gårda BK",1,1
"1939-08-20","IK Sleipner","IK Brage",1,1
"1939-08-20","Sandvikens IF","Malmö FF",1,0
"1939-08-20","Landskrona BoIS","IF Elfsborg",2,2
"1939-08-20","Helsingborgs IF","Hammarby IF",5,2
"1939-08-20","IFK Göteborg","AIK",3,2
"1939-09-03","Malmö FF","IFK Göteborg",1,1
"1939-09-03","Helsingborgs IF","IK Sleipner",4,0
"1939-09-03","Gårda BK","Landskrona BoIS",1,1
"1939-09-03","IF Elfsborg","Hammarby IF",2,2
"1939-09-03","IK Brage","Örgryte IS",2,2
"1939-09-03","AIK","Sandvikens IF",3,2
"1939-09-10","Örgryte IS","Hammarby IF",1,0
"1939-09-10","IK Sleipner","IF Elfsborg",0,5
"1939-09-10","Sandvikens IF","Gårda BK",1,0
"1939-09-10","Landskrona BoIS","Malmö FF",5,2
"1939-09-10","IFK Göteborg","IK Brage",2,1
"1939-09-10","AIK","Helsingborgs IF",0,4
"1939-09-24","Örgryte IS","Landskrona BoIS",2,4
"1939-09-24","Helsingborgs IF","AIK",4,1
"1939-09-24","Hammarby IF","IFK Göteborg",0,1
"1939-09-24","Gårda BK","Sandvikens IF",3,2
