"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1929-08-04","Sandvikens IF","GAIS",4,2
"1929-08-04","IFK Norrköping","Örgryte IS",5,3
"1929-08-04","IFK Malmö","IK Sleipner",2,5
"1929-08-04","Helsingborgs IF","IF Elfsborg",6,2
"1929-08-04","IFK Göteborg","Landskrona BoIS",1,5
"1929-08-04","AIK","Stattena IF",6,0
"1929-08-07","Stattena IF","Helsingborgs IF",0,2
"1929-08-09","GAIS","IFK Göteborg",1,1
"1929-08-11","Stattena IF","AIK",0,5
"1929-08-11","Sandvikens IF","Helsingborgs IF",2,5
"1929-08-11","IFK Malmö","IFK Norrköping",4,1
"1929-08-11","Landskrona BoIS","IFK Göteborg",0,5
"1929-08-11","GAIS","IK Sleipner",0,2
"1929-08-11","IF Elfsborg","Örgryte IS",4,0
"1929-08-14","IK Sleipner","IFK Norrköping",1,1
"1929-08-16","Örgryte IS","GAIS",0,1
"1929-08-18","Örgryte IS","Landskrona BoIS",5,3
"1929-08-18","Sandvikens IF","IF Elfsborg",4,1
"1929-08-18","IFK Norrköping","Stattena IF",2,3
"1929-08-18","IFK Malmö","IFK Göteborg",0,0
"1929-08-18","Helsingborgs IF","AIK",5,0
"1929-08-21","Stattena IF","IFK Malmö",4,3
"1929-08-23","IFK Göteborg","Örgryte IS",0,2
"1929-08-25","Stattena IF","Örgryte IS",2,6
"1929-08-25","IK Sleipner","GAIS",0,6
"1929-08-25","Landskrona BoIS","AIK",1,3
"1929-08-25","IFK Göteborg","IFK Norrköping",4,0
"1929-08-25","IF Elfsborg","Sandvikens IF",4,1
"1929-09-01","Sandvikens IF","Örgryte IS",1,6
"1929-09-01","IFK Norrköping","Landskrona BoIS",1,2
"1929-09-01","IFK Malmö","IF Elfsborg",1,1
"1929-09-01","Helsingborgs IF","IFK Göteborg",2,2
"1929-09-01","GAIS","Stattena IF",3,1
"1929-09-01","AIK","IK Sleipner",3,1
"1929-09-08","Örgryte IS","AIK",2,1
"1929-09-08","Stattena IF","IFK Norrköping",1,2
"1929-09-08","IK Sleipner","Helsingborgs IF",1,1
"1929-09-08","Sandvikens IF","IFK Malmö",4,1
"1929-09-08","Landskrona BoIS","GAIS",1,1
"1929-09-15","Stattena IF","IK Sleipner",3,4
"1929-09-15","IFK Norrköping","GAIS",1,4
"1929-09-15","IFK Göteborg","Sandvikens IF",6,0
"1929-09-15","IF Elfsborg","Helsingborgs IF",3,4
"1929-09-15","AIK","Landskrona BoIS",5,1
"1929-09-22","IK Sleipner","AIK",1,1
"1929-09-22","IFK Malmö","Örgryte IS",4,6
"1929-09-22","Landskrona BoIS","Stattena IF",4,1
"1929-09-22","Helsingborgs IF","IFK Norrköping",11,0
"1929-09-22","GAIS","IF Elfsborg",6,4
