"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1984-04-14","IF Elfsborg","IFK Norrköping",1,2
"1984-04-15","IK Brage","Hammarby IF",0,0
"1984-04-15","Östers IF","Örgryte IS",0,1
"1984-04-15","Malmö FF","Gefle IF",7,2
"1984-04-15","IFK Göteborg","Kalmar FF",1,2
"1984-04-15","AIK","Halmstads BK",1,0
"1984-04-21","Hammarby IF","Malmö FF",1,0
"1984-04-21","IFK Göteborg","Gefle IF",2,0
"1984-04-23","Örgryte IS","AIK",0,1
"1984-04-23","IFK Norrköping","Östers IF",1,1
"1984-04-23","Kalmar FF","IF Elfsborg",1,2
"1984-04-23","Halmstads BK","IK Brage",2,1
"1984-04-28","AIK","IFK Göteborg",0,0
"1984-04-29","Östers IF","IF Elfsborg",0,0
"1984-04-29","Örgryte IS","Kalmar FF",2,1
"1984-04-29","IFK Norrköping","Hammarby IF",4,1
"1984-04-29","Halmstads BK","Gefle IF",0,0
"1984-04-29","IK Brage","Malmö FF",0,1
"1984-05-05","Malmö FF","Halmstads BK",3,1
"1984-05-06","Kalmar FF","IFK Norrköping",1,0
"1984-05-06","Hammarby IF","Östers IF",1,0
"1984-05-06","IFK Göteborg","IK Brage",2,1
"1984-05-06","Gefle IF","Örgryte IS",1,1
"1984-05-06","IF Elfsborg","AIK",1,3
"1984-05-12","Östers IF","Kalmar FF",3,0
"1984-05-13","Halmstads BK","Hammarby IF",0,4
"1984-05-13","IFK Göteborg","Malmö FF",1,1
"1984-05-13","IF Elfsborg","Gefle IF",2,2
"1984-05-13","IK Brage","Örgryte IS",0,1
"1984-05-13","AIK","IFK Norrköping",3,1
"1984-05-17","Örgryte IS","Halmstads BK",1,1
"1984-05-17","IFK Norrköping","IK Brage",0,0
"1984-05-17","Malmö FF","IF Elfsborg",2,0
"1984-05-17","Kalmar FF","AIK",1,4
"1984-05-17","Hammarby IF","IFK Göteborg",2,1
"1984-05-17","Gefle IF","Östers IF",2,1
"1984-05-26","AIK","Gefle IF",2,0
"1984-05-27","Östers IF","Malmö FF",2,1
"1984-05-27","Örgryte IS","Hammarby IF",2,2
"1984-05-27","Halmstads BK","IFK Norrköping",0,0
"1984-05-27","IF Elfsborg","IFK Göteborg",2,3
"1984-05-27","IK Brage","Kalmar FF",1,0
"1984-06-03","IFK Norrköping","Örgryte IS",2,1
"1984-06-03","Malmö FF","AIK",2,2
"1984-06-03","Kalmar FF","Halmstads BK",0,0
"1984-06-03","Hammarby IF","IF Elfsborg",5,0
"1984-06-03","IFK Göteborg","Östers IF",5,0
"1984-06-03","Gefle IF","IK Brage",0,4
"1984-06-14","Östers IF","IK Brage",1,0
"1984-06-14","Malmö FF","IFK Norrköping",1,1
"1984-06-14","IFK Göteborg","Örgryte IS",3,0
"1984-06-14","Gefle IF","Kalmar FF",0,0
"1984-06-14","IF Elfsborg","Halmstads BK",1,2
"1984-06-14","AIK","Hammarby IF",1,0
"1984-06-17","IFK Norrköping","IFK Göteborg",0,3
"1984-06-17","Kalmar FF","Malmö FF",1,1
"1984-06-17","Hammarby IF","Gefle IF",4,1
"1984-06-17","Halmstads BK","Östers IF",2,1
