"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"2002-04-06","Landskrona BoIS","Helsingborgs IF",6,2
"2002-04-07","Kalmar FF","IFK Norrköping",1,0
"2002-04-07","Halmstads BK","GIF Sundsvall",0,1
"2002-04-07","AIK","IF Elfsborg",0,2
"2002-04-08","Malmö FF","Djurgårdens IF",1,2
"2002-04-08","IFK Göteborg","Örebro SK",1,1
"2002-04-08","Hammarby IF","Örgryte IS",2,3
"2002-04-13","Djurgårdens IF","AIK",3,4
"2002-04-13","Örgryte IS","Kalmar FF",2,0
"2002-04-13","Örebro SK","Landskrona BoIS",1,3
"2002-04-13","IFK Norrköping","Malmö FF",0,3
"2002-04-14","IF Elfsborg","Halmstads BK",1,1
"2002-04-14","Helsingborgs IF","Hammarby IF",4,2
"2002-04-14","GIF Sundsvall","IFK Göteborg",1,2
"2002-04-21","Malmö FF","Örgryte IS",0,1
"2002-04-21","Landskrona BoIS","GIF Sundsvall",2,2
"2002-04-21","AIK","IFK Norrköping",1,3
"2002-04-22","Örebro SK","Helsingborgs IF",1,0
"2002-04-22","IFK Göteborg","IF Elfsborg",1,2
"2002-04-22","Halmstads BK","Djurgårdens IF",1,1
"2002-04-23","Kalmar FF","Hammarby IF",1,1
"2002-04-27","Djurgårdens IF","IFK Göteborg",1,0
"2002-04-28","IFK Norrköping","Halmstads BK",0,0
"2002-04-28","Helsingborgs IF","Kalmar FF",0,0
"2002-04-28","GIF Sundsvall","Örebro SK",1,1
"2002-04-29","Örgryte IS","AIK",2,2
"2002-04-29","IF Elfsborg","Landskrona BoIS",0,3
"2002-04-29","Hammarby IF","Malmö FF",3,1
"2002-05-01","IFK Göteborg","IFK Norrköping",1,0
"2002-05-01","GIF Sundsvall","Helsingborgs IF",0,1
"2002-05-02","Örebro SK","IF Elfsborg",2,0
"2002-05-02","Landskrona BoIS","Djurgårdens IF",1,1
"2002-05-02","Halmstads BK","Örgryte IS",1,1
"2002-05-02","AIK","Hammarby IF",2,2
"2002-05-03","Malmö FF","Kalmar FF",4,0
"2002-05-05","IF Elfsborg","GIF Sundsvall",0,0
"2002-05-05","Djurgårdens IF","Örebro SK",3,0
"2002-05-06","Kalmar FF","AIK",0,0
"2002-05-06","IFK Norrköping","Landskrona BoIS",1,1
"2002-05-06","Hammarby IF","Halmstads BK",2,2
"2002-05-07","Helsingborgs IF","Malmö FF",2,3
"2002-05-08","Örgryte IS","IFK Göteborg",2,1
"2002-05-12","Landskrona BoIS","Örgryte IS",3,1
"2002-05-12","Halmstads BK","Kalmar FF",1,0
"2002-05-12","GIF Sundsvall","Djurgårdens IF",2,1
"2002-05-13","Örebro SK","IFK Norrköping",1,0
"2002-05-13","IF Elfsborg","Helsingborgs IF",0,1
"2002-05-13","AIK","Malmö FF",1,2
"2002-05-14","IFK Göteborg","Hammarby IF",3,1
"2002-07-02","Helsingborgs IF","AIK",2,1
"2002-07-03","Örgryte IS","Örebro SK",1,1
"2002-07-03","Kalmar FF","IFK Göteborg",0,1
"2002-07-04","Hammarby IF","Landskrona BoIS",1,2
"2002-07-04","IFK Norrköping","GIF Sundsvall",0,0
"2002-07-04","Malmö FF","Halmstads BK",2,1
"2002-07-05","Djurgårdens IF","IF Elfsborg",1,1
"2002-07-07","Malmö FF","Örebro SK",4,1
"2002-07-07","GIF Sundsvall","Kalmar FF",0,1
"2002-07-08","Landskrona BoIS","AIK",2,3
"2002-07-08","IFK Göteborg","Halmstads BK",1,0
"2002-07-08","IF Elfsborg","Hammarby IF",1,2
"2002-07-09","Djurgårdens IF","Örgryte IS",2,3
"2002-07-10","IFK Norrköping","Helsingborgs IF",1,0
"2002-07-14","Örgryte IS","IFK Norrköping",3,2
"2002-07-14","Malmö FF","GIF Sundsvall",0,2
"2002-07-14","AIK","Örebro SK",1,1
"2002-07-15","Kalmar FF","IF Elfsborg",1,1
"2002-07-15","Hammarby IF","Djurgårdens IF",1,2
"2002-07-16","Halmstads BK","Landskrona BoIS",1,1
"2002-07-17","Helsingborgs IF","IFK Göteborg",2,1
"2002-07-21","Landskrona BoIS","Kalmar FF",1,3
"2002-07-21","GIF Sundsvall","Örgryte IS",1,1
"2002-07-22","Örebro SK","Hammarby IF",2,1
"2002-07-22","IF Elfsborg","IFK Norrköping",2,2
"2002-07-22","Halmstads BK","AIK",1,1
"2002-07-23","IFK Göteborg","Malmö FF",0,4
"2002-07-24","Djurgårdens IF","Helsingborgs IF",1,1
"2002-07-27","Hammarby IF","GIF Sundsvall",3,1
"2002-07-28","Kalmar FF","Örebro SK",0,1
"2002-07-29","IFK Norrköping","Djurgårdens IF",0,1
"2002-07-29","AIK","IFK Göteborg",3,0
"2002-07-29","Malmö FF","Landskrona BoIS",2,1
"2002-07-30","Örgryte IS","IF Elfsborg",4,1
"2002-07-31","Helsingborgs IF","Halmstads BK",0,0
"2002-08-03","IFK Norrköping","Hammarby IF",1,1
"2002-08-04","Örgryte IS","Helsingborgs IF",2,2
"2002-08-04","IF Elfsborg","Malmö FF",2,1
"2002-08-04","Djurgårdens IF","Kalmar FF",1,0
"2002-08-05","Örebro SK","Halmstads BK",3,1
"2002-08-05","Landskrona BoIS","IFK Göteborg",1,2
"2002-08-05","GIF Sundsvall","AIK",1,1
"2002-08-07","Malmö FF","IFK Norrköping",3,2
"2002-08-07","Kalmar FF","Örgryte IS",1,3
"2002-08-08","Landskrona BoIS","Örebro SK",3,1
"2002-08-08","IFK Göteborg","GIF Sundsvall",0,0
"2002-08-08","Halmstads BK","IF Elfsborg",0,1
"2002-08-08","AIK","Djurgårdens IF",0,3
"2002-08-10","Örgryte IS","Hammarby IF",1,1
"2002-08-11","Örebro SK","IFK Göteborg",2,0
"2002-08-11","IF Elfsborg","AIK",0,1
"2002-08-11","Djurgårdens IF","Malmö FF",3,4
"2002-08-12","IFK Norrköping","Kalmar FF",5,1
"2002-08-12","GIF Sundsvall","Halmstads BK",3,2
"2002-08-12","Helsingborgs IF","Landskrona BoIS",2,3
"2002-08-17","Örgryte IS","Malmö FF",2,2
"2002-08-17","Hammarby IF","Kalmar FF",3,1
"2002-08-17","GIF Sundsvall","Landskrona BoIS",1,0
"2002-08-18","Djurgårdens IF","Halmstads BK",1,3
"2002-08-18","IFK Norrköping","AIK",1,1
"2002-08-18","IF Elfsborg","IFK Göteborg",2,1
"2002-08-18","Helsingborgs IF","Örebro SK",2,1
