"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"2010-03-13","Kalmar FF","IFK Göteborg",0,3
"2010-03-14","Helsingborgs IF","IF Brommapojkarna",1,0
"2010-03-14","BK Häcken","Djurgårdens IF",2,1
"2010-03-14","Halmstads BK","Trelleborgs FF",0,0
"2010-03-14","AIK","Mjällby AIF",0,0
"2010-03-15","Örebro SK","Åtvidabergs FF",2,0
"2010-03-15","Gefle IF","IF Elfsborg",0,0
"2010-03-15","GAIS","Malmö FF",0,0
"2010-03-20","IF Brommapojkarna","AIK",0,0
"2010-03-21","Djurgårdens IF","Helsingborgs IF",0,1
"2010-03-21","Trelleborgs FF","Kalmar FF",1,1
"2010-03-21","Mjällby AIF","GAIS",3,0
"2010-03-22","IFK Göteborg","BK Häcken",0,1
"2010-03-22","IF Elfsborg","Halmstads BK",6,0
"2010-03-22","Åtvidabergs FF","Gefle IF",0,1
"2010-03-23","Malmö FF","Örebro SK",3,0
"2010-03-27","Kalmar FF","IF Elfsborg",2,2
"2010-03-28","Gefle IF","Malmö FF",1,3
"2010-03-28","Halmstads BK","Åtvidabergs FF",4,0
"2010-03-29","Helsingborgs IF","IFK Göteborg",2,0
"2010-03-29","Örebro SK","Mjällby AIF",0,2
"2010-03-29","GAIS","AIK",3,1
"2010-03-30","BK Häcken","Trelleborgs FF",4,2
"2010-03-31","Djurgårdens IF","IF Brommapojkarna",0,0
"2010-04-05","Trelleborgs FF","Helsingborgs IF",0,0
"2010-04-05","Mjällby AIF","Gefle IF",1,3
"2010-04-05","AIK","Örebro SK",0,1
"2010-04-06","Åtvidabergs FF","Kalmar FF",0,0
"2010-04-06","IF Elfsborg","BK Häcken",0,0
"2010-04-06","Malmö FF","Halmstads BK",1,1
"2010-04-06","IFK Göteborg","Djurgårdens IF",1,1
"2010-04-06","IF Brommapojkarna","GAIS",1,0
"2010-04-10","BK Häcken","Åtvidabergs FF",0,0
"2010-04-11","Helsingborgs IF","IF Elfsborg",2,1
"2010-04-11","Halmstads BK","Mjällby AIF",1,2
"2010-04-11","Kalmar FF","Malmö FF",2,3
"2010-04-11","IFK Göteborg","IF Brommapojkarna",1,1
"2010-04-11","Gefle IF","AIK",1,0
"2010-04-12","Örebro SK","GAIS",0,2
"2010-04-12","Djurgårdens IF","Trelleborgs FF",3,0
"2010-04-14","Åtvidabergs FF","Helsingborgs IF",0,3
"2010-04-14","Malmö FF","BK Häcken",3,1
"2010-04-14","AIK","Halmstads BK",0,1
"2010-04-15","GAIS","Gefle IF",2,1
"2010-04-15","Mjällby AIF","Kalmar FF",0,0
"2010-04-15","IF Brommapojkarna","Örebro SK",0,1
"2010-04-15","Trelleborgs FF","IFK Göteborg",2,1
