"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1946-07-26","GAIS","IF Elfsborg",1,5
"1946-07-28","IFK Norrköping","Örebro SK",5,0
"1946-07-28","Malmö FF","Billingsfors IK",6,0
"1946-07-28","IS Halmia","Djurgårdens IF",1,0
"1946-07-28","Degerfors IF","Helsingborgs IF",2,1
"1946-07-28","AIK","IFK Göteborg",4,4
"1946-08-04","Örebro SK","AIK",2,5
"1946-08-04","Helsingborgs IF","IFK Norrköping",1,3
"1946-08-04","IFK Göteborg","Malmö FF",0,0
"1946-08-04","IF Elfsborg","IS Halmia",2,2
"1946-08-04","Djurgårdens IF","Degerfors IF",1,1
"1946-08-04","Billingsfors IK","GAIS",2,3
"1946-08-11","IFK Norrköping","Djurgårdens IF",3,1
"1946-08-11","Malmö FF","Örebro SK",3,3
"1946-08-11","GAIS","IS Halmia",0,1
"1946-08-11","Degerfors IF","IF Elfsborg",0,1
"1946-08-11","Billingsfors IK","IFK Göteborg",1,3
"1946-08-11","AIK","Helsingborgs IF",2,0
"1946-08-16","IFK Göteborg","GAIS",2,2
"1946-08-16","Djurgårdens IF","AIK",0,2
"1946-08-18","Örebro SK","Billingsfors IK",6,1
"1946-08-18","Helsingborgs IF","Malmö FF",1,2
"1946-08-18","IS Halmia","Degerfors IF",0,1
"1946-08-18","IF Elfsborg","IFK Norrköping",2,0
"1946-08-25","Örebro SK","IF Elfsborg",1,2
"1946-08-25","IFK Norrköping","IS Halmia",4,0
"1946-08-25","GAIS","AIK",0,3
"1946-09-01","Helsingborgs IF","IFK Göteborg",2,0
"1946-09-01","IS Halmia","AIK",0,0
"1946-09-01","GAIS","Örebro SK",5,2
"1946-09-01","IF Elfsborg","Malmö FF",1,2
"1946-09-01","Djurgårdens IF","Billingsfors IK",1,1
"1946-09-01","Degerfors IF","IFK Norrköping",2,1
"1946-09-08","Örebro SK","Helsingborgs IF",1,3
"1946-09-08","IFK Norrköping","GAIS",1,1
"1946-09-08","Malmö FF","IS Halmia",5,1
"1946-09-08","IFK Göteborg","Djurgårdens IF",3,2
"1946-09-08","Billingsfors IK","IF Elfsborg",2,2
"1946-09-08","AIK","Degerfors IF",2,1
"1946-09-22","IFK Norrköping","IFK Göteborg",4,3
"1946-09-22","IS Halmia","Helsingborgs IF",4,2
"1946-09-22","GAIS","Malmö FF",3,3
"1946-09-22","IF Elfsborg","Djurgårdens IF",6,3
"1946-09-22","Degerfors IF","Örebro SK",4,1
"1946-09-22","AIK","Billingsfors IK",6,2
"1946-09-29","Örebro SK","IS Halmia",2,0
"1946-09-29","Malmö FF","AIK",4,0
"1946-09-29","Helsingborgs IF","IF Elfsborg",4,3
"1946-09-29","IFK Göteborg","Degerfors IF",3,2
