"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"2009-04-04","BK Häcken","Malmö FF",0,1
"2009-04-04","IF Elfsborg","Hammarby IF",1,1
"2009-04-05","Örgryte IS","GAIS",1,5
"2009-04-05","AIK","Halmstads BK",1,0
"2009-04-05","Trelleborgs FF","IF Brommapojkarna",0,0
"2009-04-06","Gefle IF","Kalmar FF",1,1
"2009-04-06","Djurgårdens IF","Örebro SK",1,0
"2009-04-06","Helsingborgs IF","IFK Göteborg",1,0
"2009-04-10","Halmstads BK","Trelleborgs FF",1,1
"2009-04-10","IF Brommapojkarna","BK Häcken",2,0
"2009-04-10","Örebro SK","IF Elfsborg",0,1
"2009-04-11","IFK Göteborg","Djurgårdens IF",6,0
"2009-04-12","Hammarby IF","Gefle IF",1,2
"2009-04-13","GAIS","Helsingborgs IF",1,4
"2009-04-13","Malmö FF","Örgryte IS",3,0
"2009-04-13","Kalmar FF","AIK",0,1
"2009-04-15","Halmstads BK","IF Brommapojkarna",0,1
"2009-04-15","BK Häcken","IFK Göteborg",4,1
"2009-04-15","Djurgårdens IF","Gefle IF",0,0
"2009-04-16","Örgryte IS","Örebro SK",0,1
"2009-04-16","AIK","Malmö FF",0,1
"2009-04-16","Trelleborgs FF","GAIS",3,0
"2009-04-16","Helsingborgs IF","Hammarby IF",1,0
"2009-04-16","IF Elfsborg","Kalmar FF",1,1
"2009-04-19","IF Brommapojkarna","AIK",2,3
"2009-04-19","Kalmar FF","Halmstads BK",0,1
"2009-04-19","Malmö FF","Trelleborgs FF",1,1
"2009-04-19","GAIS","BK Häcken",3,0
"2009-04-19","Gefle IF","IF Elfsborg",1,2
"2009-04-20","IFK Göteborg","Örgryte IS",3,0
"2009-04-20","Örebro SK","Helsingborgs IF",2,0
"2009-04-20","Hammarby IF","Djurgårdens IF",3,1
"2009-04-22","BK Häcken","Trelleborgs FF",1,0
"2009-04-22","IF Elfsborg","Malmö FF",1,0
"2009-04-23","Örgryte IS","AIK",0,1
"2009-04-23","Gefle IF","GAIS",0,0
"2009-04-23","Örebro SK","Kalmar FF",2,1
"2009-04-23","Helsingborgs IF","Halmstads BK",1,3
"2009-04-23","Hammarby IF","IFK Göteborg",0,1
"2009-04-24","Djurgårdens IF","IF Brommapojkarna",0,2
"2009-04-28","IFK Göteborg","Örebro SK",1,0
"2009-04-29","GAIS","Hammarby IF",2,2
"2009-04-29","Malmö FF","Gefle IF",0,0
"2009-04-29","Halmstads BK","Djurgårdens IF",3,0
"2009-04-29","AIK","Helsingborgs IF",0,3
"2009-05-01","Kalmar FF","BK Häcken",2,1
"2009-05-01","Trelleborgs FF","Örgryte IS",2,1
"2009-05-01","IF Brommapojkarna","IF Elfsborg",1,1
"2009-05-04","Gefle IF","Örebro SK",2,0
"2009-05-04","Helsingborgs IF","Malmö FF",1,0
"2009-05-04","Djurgårdens IF","GAIS",2,1
"2009-05-04","IF Elfsborg","IFK Göteborg",2,0
"2009-05-05","Trelleborgs FF","AIK",1,0
"2009-05-05","BK Häcken","Halmstads BK",2,2
"2009-05-06","Hammarby IF","Kalmar FF",1,4
"2009-05-06","Örgryte IS","IF Brommapojkarna",1,1
"2009-05-07","IFK Göteborg","Gefle IF",3,0
"2009-05-09","AIK","BK Häcken",2,0
"2009-05-10","Malmö FF","Djurgårdens IF",2,1
"2009-05-10","Halmstads BK","Örgryte IS",2,1
"2009-05-10","GAIS","IF Elfsborg",1,1
"2009-05-11","Kalmar FF","Trelleborgs FF",2,0
"2009-05-11","IF Brommapojkarna","Helsingborgs IF",0,3
"2009-05-11","Örebro SK","Hammarby IF",2,0
"2009-05-16","IF Elfsborg","Halmstads BK",4,0
"2009-05-17","Örebro SK","GAIS",2,0
"2009-05-17","Hammarby IF","Malmö FF",1,0
"2009-05-17","Gefle IF","IF Brommapojkarna",3,2
"2009-05-17","IFK Göteborg","Kalmar FF",2,1
"2009-05-18","Örgryte IS","BK Häcken",0,1
"2009-05-18","Helsingborgs IF","Trelleborgs FF",2,2
