"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1925-08-02","IFK Uddevalla","Örgryte IS",2,2
"1925-08-02","IFK Malmö","IFK Eskilstuna",2,3
"1925-08-02","Helsingborgs IF","IK Sleipner",8,3
"1925-08-02","GAIS","IFK Norrköping",1,0
"1925-08-02","IK City","IFK Göteborg",4,4
"1925-08-02","AIK","Landskrona BoIS",6,3
"1925-08-07","Landskrona BoIS","Helsingborgs IF",0,2
"1925-08-07","IK Sleipner","IFK Norrköping",1,0
"1925-08-07","IFK Göteborg","Örgryte IS",4,3
"1925-08-07","IFK Eskilstuna","IK City",3,3
"1925-08-09","Örgryte IS","IFK Malmö",6,1
"1925-08-09","IFK Uddevalla","IK City",1,1
"1925-08-09","IK Sleipner","AIK",0,0
"1925-08-09","Landskrona BoIS","IFK Göteborg",2,4
"1925-08-09","Helsingborgs IF","IFK Norrköping",7,3
"1925-08-14","Örgryte IS","GAIS",4,2
"1925-08-14","Helsingborgs IF","IFK Malmö",9,1
"1925-08-16","IFK Norrköping","IFK Eskilstuna",1,3
"1925-08-16","IFK Malmö","GAIS",0,4
"1925-08-16","IFK Göteborg","IK Sleipner",2,0
"1925-08-16","IK City","Landskrona BoIS",1,2
"1925-08-16","AIK","Helsingborgs IF",2,5
"1925-08-21","GAIS","IFK Göteborg",1,0
"1925-08-21","IFK Malmö","Landskrona BoIS",0,5
"1925-08-23","GAIS","IK City",5,1
"1925-08-23","IK Sleipner","Landskrona BoIS",1,6
"1925-08-23","IFK Eskilstuna","IFK Uddevalla",3,3
"1925-08-30","Örgryte IS","AIK",3,0
"1925-08-30","IFK Uddevalla","IFK Göteborg",0,0
"1925-08-30","IFK Norrköping","IFK Malmö",5,1
"1925-08-30","Landskrona BoIS","IFK Eskilstuna",3,1
"1925-08-30","Helsingborgs IF","GAIS",2,0
"1925-08-30","IK City","IK Sleipner",0,2
"1925-09-06","IK Sleipner","IFK Uddevalla",3,3
"1925-09-06","IFK Malmö","AIK",2,2
"1925-09-06","Landskrona BoIS","GAIS",0,1
"1925-09-06","IFK Göteborg","Helsingborgs IF",2,2
"1925-09-06","IFK Eskilstuna","Örgryte IS",3,5
"1925-09-13","IFK Uddevalla","IFK Malmö",3,0
"1925-09-13","IFK Norrköping","IFK Göteborg",1,6
"1925-09-13","GAIS","IK Sleipner",3,2
"1925-09-13","IK City","Örgryte IS",1,3
"1925-09-13","AIK","IFK Eskilstuna",1,0
"1925-09-20","Örgryte IS","Landskrona BoIS",6,3
"1925-09-20","IFK Malmö","IK City",3,3
"1925-09-20","Helsingborgs IF","IFK Uddevalla",2,0
"1925-09-20","IFK Eskilstuna","GAIS",0,3
"1925-09-27","IK City","Helsingborgs IF",0,4
"1925-09-27","IK Sleipner","IFK Eskilstuna",0,1
"1925-09-27","Landskrona BoIS","IFK Norrköping",4,1
"1925-09-27","IFK Göteborg","IFK Malmö",5,1
"1925-09-27","AIK","GAIS",3,1
"1925-10-04","GAIS","IFK Uddevalla",1,0
"1925-10-04","IFK Malmö","IK Sleipner",1,0
"1925-10-04","Helsingborgs IF","Örgryte IS",0,1
"1925-10-04","IFK Eskilstuna","IFK Göteborg",1,4
"1925-10-04","IFK Norrköping","IK City",4,3
"1925-10-11","Örgryte IS","IK Sleipner",2,1
"1925-10-11","IFK Eskilstuna","Helsingborgs IF",2,6
"1925-10-11","IFK Uddevalla","Landskrona BoIS",3,3
"1925-10-11","AIK","IFK Norrköping",5,3
"1925-10-18","Landskrona BoIS","Örgryte IS",2,6
"1925-10-18","IK City","IFK Uddevalla",2,4
"1925-10-18","IFK Norrköping","GAIS",1,5
"1925-10-18","Helsingborgs IF","IFK Eskilstuna",4,1
"1925-10-18","IFK Göteborg","AIK",3,0
"1925-10-25","IFK Uddevalla","Helsingborgs IF",1,2
"1925-10-25","IK Sleipner","Örgryte IS",0,3
"1925-10-25","IFK Malmö","IFK Göteborg",0,0
"1925-10-25","GAIS","Landskrona BoIS",4,0
"1925-10-25","IFK Eskilstuna","IFK Norrköping",3,2
"1925-10-25","AIK","IK City",4,3
"1925-11-01","Örgryte IS","IFK Eskilstuna",1,2
"1925-11-01","IK City","IFK Malmö",0,3
"1925-11-01","IFK Norrköping","AIK",3,2
"1926-04-02","IFK Göteborg","IFK Eskilstuna",8,2
"1926-04-04","GAIS","IFK Eskilstuna",4,1
"1926-04-05","Örgryte IS","IFK Norrköping",3,0
"1926-04-05","Landskrona BoIS","IFK Uddevalla",5,0
"1926-04-11","IK Sleipner","Helsingborgs IF",2,5
"1926-04-11","Örgryte IS","IK City",5,1
"1926-04-11","IFK Uddevalla","AIK",2,1
"1926-04-18","IK Sleipner","GAIS",0,6
"1926-04-18","IFK Malmö","IFK Uddevalla",5,0
"1926-04-18","IFK Göteborg","IFK Norrköping",1,1
"1926-04-18","IFK Eskilstuna","Landskrona BoIS",3,3
"1926-04-18","AIK","Örgryte IS",3,3
"1926-04-25","IFK Uddevalla","IK Sleipner",1,4
"1926-04-25","IFK Norrköping","Landskrona BoIS",6,1
"1926-04-25","Helsingborgs IF","AIK",3,2
"1926-04-25","GAIS","IFK Malmö",5,1
"1926-04-25","IK City","IFK Eskilstuna",4,3
"1926-04-30","IFK Göteborg","GAIS",1,1
"1926-05-02","Örgryte IS","Helsingborgs IF",2,2
"1926-05-02","IK Sleipner","IK City",4,0
"1926-05-02","IFK Eskilstuna","IFK Malmö",0,0
"1926-05-02","AIK","IFK Uddevalla",0,0
"1926-05-05","IFK Göteborg","IFK Uddevalla",2,1
"1926-05-05","Helsingborgs IF","Landskrona BoIS",6,1
"1926-05-07","GAIS","Örgryte IS",2,2
"1926-05-09","IFK Uddevalla","GAIS",2,1
"1926-05-09","IFK Norrköping","Örgryte IS",0,5
"1926-05-09","IFK Malmö","Helsingborgs IF",1,0
"1926-05-09","Landskrona BoIS","AIK",2,2
"1926-05-09","IFK Göteborg","IK City",6,0
"1926-05-09","IFK Eskilstuna","IK Sleipner",1,3
"1926-05-13","Landskrona BoIS","IK Sleipner",2,7
"1926-05-13","IK City","IFK Norrköping",3,4
"1926-05-13","AIK","IFK Göteborg",3,1
"1926-05-13","GAIS","Helsingborgs IF",5,0
"1926-05-16","Örgryte IS","IFK Uddevalla",3,2
"1926-05-16","IFK Malmö","IFK Norrköping",1,2
"1926-05-16","Helsingborgs IF","IK City",5,1
"1926-05-16","IFK Eskilstuna","AIK",1,1
"1926-05-16","IK Sleipner","IFK Göteborg",0,3
"1926-05-21","Landskrona BoIS","IFK Malmö",2,2
"1926-05-21","IFK Norrköping","IK Sleipner",2,1
"1926-05-23","IK City","AIK",0,3
"1926-05-24","IFK Norrköping","IFK Uddevalla",5,0
"1926-05-24","AIK","IFK Malmö",3,3
"1926-05-30","IFK Uddevalla","IFK Norrköping",1,1
"1926-05-30","IK Sleipner","IFK Malmö",3,1
"1926-05-30","Landskrona BoIS","IK City",5,1
"1926-05-30","Helsingborgs IF","IFK Göteborg",1,4
"1926-05-30","GAIS","AIK",6,0
"1926-06-04","Örgryte IS","IFK Göteborg",1,1
"1926-06-06","IFK Uddevalla","IFK Eskilstuna",2,3
"1926-06-06","IFK Norrköping","Helsingborgs IF",2,0
"1926-06-06","IFK Malmö","Örgryte IS",1,6
"1926-06-06","IFK Göteborg","Landskrona BoIS",4,2
"1926-06-06","IK City","GAIS",0,6
"1926-06-06","AIK","IK Sleipner",2,3
