"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1969-04-13","Östers IF","Djurgårdens IF",1,0
"1969-04-13","IFK Norrköping","Örebro SK",3,0
"1969-04-13","Malmö FF","IK Sirius",3,0
"1969-04-13","IFK Göteborg","Åtvidabergs FF",2,3
"1969-04-13","IF Elfsborg","GAIS",0,1
"1969-04-13","AIK","Jönköpings Södra IF",0,0
"1969-04-20","Örebro SK","AIK",1,0
"1969-04-20","Åtvidabergs FF","IF Elfsborg",0,2
"1969-04-20","IK Sirius","Östers IF",0,0
"1969-04-20","Jönköpings Södra IF","Malmö FF",1,1
"1969-04-20","GAIS","IFK Norrköping",2,1
"1969-04-20","Djurgårdens IF","IFK Göteborg",0,4
"1969-04-27","Östers IF","Örebro SK",0,1
"1969-04-27","Åtvidabergs FF","Djurgårdens IF",3,2
"1969-04-27","Malmö FF","IFK Norrköping",3,0
"1969-04-27","IFK Göteborg","Jönköpings Södra IF",1,1
"1969-04-27","IF Elfsborg","IK Sirius",1,1
"1969-04-27","AIK","GAIS",2,2
"1969-05-04","Örebro SK","Malmö FF",1,2
"1969-05-04","IK Sirius","IFK Göteborg",0,1
"1969-05-04","IFK Norrköping","AIK",1,1
"1969-05-04","Jönköpings Södra IF","Östers IF",0,5
"1969-05-04","GAIS","Åtvidabergs FF",2,3
"1969-05-04","Djurgårdens IF","IF Elfsborg",4,1
"1969-05-11","Östers IF","IFK Norrköping",1,1
"1969-05-11","Åtvidabergs FF","IK Sirius",2,0
"1969-05-11","Malmö FF","AIK",1,1
"1969-05-11","IFK Göteborg","Örebro SK",1,0
"1969-05-11","IF Elfsborg","Jönköpings Södra IF",1,0
"1969-05-11","Djurgårdens IF","GAIS",6,0
"1969-05-15","Örebro SK","IF Elfsborg",3,1
"1969-05-15","IK Sirius","Djurgårdens IF",0,1
"1969-05-15","IFK Norrköping","IFK Göteborg",0,2
"1969-05-15","Jönköpings Södra IF","Åtvidabergs FF",1,1
"1969-05-15","GAIS","Malmö FF",3,0
"1969-05-15","AIK","Östers IF",1,2
"1969-05-26","Östers IF","Malmö FF",1,2
"1969-05-26","Åtvidabergs FF","Örebro SK",2,1
"1969-05-26","IK Sirius","GAIS",0,1
"1969-05-26","IFK Göteborg","AIK",2,0
"1969-05-26","IF Elfsborg","IFK Norrköping",1,0
"1969-05-26","Djurgårdens IF","Jönköpings Södra IF",3,0
"1969-05-29","Örebro SK","Djurgårdens IF",1,0
"1969-05-29","IFK Norrköping","Åtvidabergs FF",4,2
"1969-05-29","Malmö FF","IFK Göteborg",1,0
"1969-05-29","Jönköpings Södra IF","IK Sirius",0,3
"1969-05-29","GAIS","Östers IF",1,0
"1969-05-29","AIK","IF Elfsborg",0,2
"1969-06-04","Åtvidabergs FF","Malmö FF",2,0
"1969-06-04","IK Sirius","IFK Norrköping",0,1
"1969-06-04","Jönköpings Södra IF","Örebro SK",0,1
"1969-06-04","IFK Göteborg","GAIS",2,0
"1969-06-04","IF Elfsborg","Östers IF",1,1
"1969-06-04","Djurgårdens IF","AIK",2,0
"1969-06-08","Östers IF","IFK Göteborg",4,1
"1969-06-08","Örebro SK","IK Sirius",5,1
"1969-06-08","IFK Norrköping","Djurgårdens IF",3,0
"1969-06-08","Malmö FF","IF Elfsborg",2,2
"1969-06-08","GAIS","Jönköpings Södra IF",4,0
"1969-06-08","AIK","Åtvidabergs FF",0,1
"1969-06-12","Örebro SK","GAIS",1,1
"1969-06-12","Åtvidabergs FF","Östers IF",5,2
"1969-06-12","Malmö FF","Djurgårdens IF",1,2
"1969-06-12","Jönköpings Södra IF","IFK Norrköping",1,3
"1969-06-12","IFK Göteborg","IF Elfsborg",2,0
"1969-06-12","AIK","IK Sirius",1,0
"1969-08-14","Östers IF","Åtvidabergs FF",3,2
"1969-08-14","IK Sirius","AIK",1,4
"1969-08-14","IFK Norrköping","Jönköpings Södra IF",5,3
"1969-08-14","GAIS","Örebro SK",0,1
"1969-08-14","IF Elfsborg","IFK Göteborg",2,3
"1969-08-14","Djurgårdens IF","Malmö FF",1,1
"1969-08-21","Östers IF","IK Sirius",0,0
"1969-08-21","IFK Norrköping","GAIS",2,2
"1969-08-21","Malmö FF","Jönköpings Södra IF",3,4
"1969-08-21","IFK Göteborg","Djurgårdens IF",0,0
"1969-08-21","IF Elfsborg","Åtvidabergs FF",0,1
"1969-08-21","AIK","Örebro SK",2,2
"1969-08-24","Åtvidabergs FF","IFK Göteborg",1,1
"1969-08-28","IK Sirius","Malmö FF",0,0
"1969-08-28","Jönköpings Södra IF","AIK",2,1
"1969-08-28","GAIS","IF Elfsborg",0,0
"1969-08-28","Djurgårdens IF","Östers IF",2,4
"1969-09-02","Östers IF","IF Elfsborg",2,0
"1969-09-02","Örebro SK","Jönköpings Södra IF",4,0
"1969-09-02","IFK Norrköping","IK Sirius",0,2
"1969-09-02","Malmö FF","Åtvidabergs FF",2,1
"1969-09-02","GAIS","IFK Göteborg",1,1
"1969-09-02","AIK","Djurgårdens IF",0,1
"1969-09-07","Åtvidabergs FF","AIK",0,3
"1969-09-07","IK Sirius","Örebro SK",2,0
"1969-09-07","Jönköpings Södra IF","GAIS",2,1
"1969-09-07","IFK Göteborg","Östers IF",1,0
"1969-09-07","IF Elfsborg","Malmö FF",0,1
"1969-09-07","Djurgårdens IF","IFK Norrköping",3,1
"1969-09-10","Örebro SK","IFK Norrköping",2,2
"1969-09-14","Örebro SK","Åtvidabergs FF",1,1
"1969-09-14","IFK Norrköping","IF Elfsborg",3,1
"1969-09-14","Malmö FF","Östers IF",2,1
"1969-09-14","Jönköpings Södra IF","Djurgårdens IF",1,4
"1969-09-14","GAIS","IK Sirius",1,1
"1969-09-14","AIK","IFK Göteborg",1,0
"1969-09-21","Östers IF","GAIS",3,1
"1969-09-21","Åtvidabergs FF","IFK Norrköping",3,2
"1969-09-21","IK Sirius","Jönköpings Södra IF",0,1
"1969-09-21","IFK Göteborg","Malmö FF",3,1
"1969-09-21","IF Elfsborg","AIK",1,1
"1969-09-21","Djurgårdens IF","Örebro SK",1,2
"1969-09-28","Örebro SK","IFK Göteborg",1,1
"1969-09-28","IK Sirius","Åtvidabergs FF",2,0
"1969-09-28","IFK Norrköping","Östers IF",3,0
"1969-09-28","Jönköpings Södra IF","IF Elfsborg",2,1
"1969-09-28","GAIS","Djurgårdens IF",2,3
"1969-09-28","AIK","Malmö FF",0,0
"1969-10-05","Östers IF","AIK",0,1
"1969-10-05","Åtvidabergs FF","Jönköpings Södra IF",0,0
"1969-10-05","Malmö FF","GAIS",2,1
"1969-10-05","IFK Göteborg","IFK Norrköping",1,0
"1969-10-05","IF Elfsborg","Örebro SK",3,1
"1969-10-05","Djurgårdens IF","IK Sirius",0,0
"1969-10-18","Örebro SK","Östers IF",2,1
"1969-10-18","IK Sirius","IF Elfsborg",0,1
"1969-10-18","IFK Norrköping","Malmö FF",1,3
"1969-10-18","Jönköpings Södra IF","IFK Göteborg",0,3
"1969-10-18","GAIS","AIK",3,2
"1969-10-18","Djurgårdens IF","Åtvidabergs FF",2,1
"1969-10-25","Östers IF","Jönköpings Södra IF",6,0
"1969-10-25","Åtvidabergs FF","GAIS",4,2
"1969-10-25","Malmö FF","Örebro SK",3,2
"1969-10-25","IFK Göteborg","IK Sirius",6,3
"1969-10-25","IF Elfsborg","Djurgårdens IF",0,2
"1969-10-25","AIK","IFK Norrköping",0,1
