"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1926-08-01","IFK Uddevalla","IFK Eskilstuna",1,7
"1926-08-01","IFK Norrköping","GAIS",0,3
"1926-08-01","Helsingborgs IF","Westermalms IF",7,0
"1926-08-01","IFK Göteborg","Landskrona BoIS",4,2
"1926-08-01","IF Elfsborg","Örgryte IS",0,1
"1926-08-01","AIK","IK Sleipner",2,1
"1926-08-06","IFK Göteborg","Örgryte IS",3,2
"1926-08-08","Örgryte IS","AIK",2,1
"1926-08-08","Westermalms IF","IFK Uddevalla",4,1
"1926-08-08","IK Sleipner","Helsingborgs IF",2,0
"1926-08-08","Landskrona BoIS","IF Elfsborg",2,2
"1926-08-08","IFK Eskilstuna","IFK Norrköping",3,3
"1926-08-13","Örgryte IS","GAIS",2,3
"1926-08-15","IFK Norrköping","IK Sleipner",3,1
"1926-08-15","Helsingborgs IF","IFK Göteborg",4,2
"1926-08-15","GAIS","IFK Uddevalla",6,0
"1926-08-15","IF Elfsborg","Westermalms IF",5,1
"1926-08-15","AIK","IFK Eskilstuna",2,1
"1926-08-20","Westermalms IF","AIK",1,0
"1926-08-20","GAIS","IFK Göteborg",1,1
"1926-08-22","IK Sleipner","IF Elfsborg",2,1
"1926-08-22","Landskrona BoIS","Helsingborgs IF",1,2
"1926-08-22","IFK Göteborg","IFK Norrköping",4,0
"1926-08-22","IFK Eskilstuna","Örgryte IS",1,2
"1926-08-25","GAIS","IF Elfsborg",7,0
"1926-08-29","Örgryte IS","Westermalms IF",4,1
"1926-08-29","IK Sleipner","IFK Eskilstuna",8,2
"1926-08-29","Landskrona BoIS","IFK Norrköping",1,2
"1926-08-29","Helsingborgs IF","IFK Uddevalla",1,0
"1926-08-29","AIK","IFK Göteborg",2,3
"1926-09-05","IFK Uddevalla","IFK Göteborg",1,2
"1926-09-05","IFK Norrköping","Örgryte IS",3,4
"1926-09-05","GAIS","IK Sleipner",2,1
"1926-09-05","IFK Eskilstuna","Westermalms IF",4,1
"1926-09-05","IF Elfsborg","Helsingborgs IF",1,4
"1926-09-05","AIK","Landskrona BoIS",4,0
"1926-09-12","Westermalms IF","IK Sleipner",2,3
"1926-09-12","IFK Norrköping","AIK",2,1
"1926-09-12","Landskrona BoIS","Örgryte IS",0,3
"1926-09-12","Helsingborgs IF","GAIS",2,0
