"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1992-04-05","Östers IF","IFK Norrköping",1,0
"1992-04-05","Trelleborgs FF","GAIS",1,0
"1992-04-05","IFK Göteborg","Malmö FF",3,0
"1992-04-05","AIK","Västra Frölunda IF",2,0
"1992-04-07","Örebro SK","Djurgårdens IF",3,1
"1992-04-11","GAIS","Örebro SK",0,0
"1992-04-12","Västra Frölunda IF","IFK Göteborg",1,0
"1992-04-12","IFK Norrköping","AIK",3,1
"1992-04-12","Malmö FF","Östers IF",2,2
"1992-04-12","Djurgårdens IF","Trelleborgs FF",1,2
"1992-04-15","IFK Norrköping","Trelleborgs FF",2,2
"1992-04-15","Malmö FF","Örebro SK",4,0
"1992-04-20","Östers IF","AIK",1,1
"1992-04-20","Örebro SK","Västra Frölunda IF",0,0
"1992-04-20","Trelleborgs FF","Malmö FF",1,0
"1992-04-20","IFK Göteborg","IFK Norrköping",1,2
"1992-04-20","Djurgårdens IF","GAIS",4,0
"1992-04-26","Östers IF","Västra Frölunda IF",2,1
"1992-04-26","Trelleborgs FF","Örebro SK",1,3
"1992-04-26","IFK Norrköping","GAIS",1,2
"1992-04-26","IFK Göteborg","Djurgårdens IF",6,1
"1992-04-26","AIK","Malmö FF",3,1
"1992-05-03","Örebro SK","IFK Göteborg",0,2
"1992-05-03","Västra Frölunda IF","Trelleborgs FF",1,1
"1992-05-03","Malmö FF","IFK Norrköping",4,0
"1992-05-03","Djurgårdens IF","Östers IF",2,1
"1992-05-04","GAIS","AIK",0,1
"1992-05-10","Östers IF","Örebro SK",1,1
"1992-05-10","IFK Norrköping","Västra Frölunda IF",4,0
"1992-05-10","Malmö FF","GAIS",0,1
"1992-05-10","IFK Göteborg","Trelleborgs FF",1,0
"1992-05-11","AIK","Djurgårdens IF",4,4
"1992-05-13","Västra Frölunda IF","Malmö FF",0,0
"1992-05-14","Örebro SK","AIK",0,0
"1992-05-14","Trelleborgs FF","Östers IF",3,2
"1992-05-14","IFK Göteborg","GAIS",2,1
"1992-05-14","Djurgårdens IF","IFK Norrköping",2,2
"1992-05-17","Östers IF","IFK Göteborg",2,2
"1992-05-17","IFK Norrköping","Örebro SK",3,0
"1992-05-17","Malmö FF","Djurgårdens IF",1,1
"1992-05-17","GAIS","Västra Frölunda IF",1,1
"1992-05-17","AIK","Trelleborgs FF",0,1
"1992-05-21","Örebro SK","Östers IF",2,3
"1992-05-21","Västra Frölunda IF","IFK Norrköping",2,1
"1992-05-21","Trelleborgs FF","IFK Göteborg",2,2
"1992-05-21","GAIS","Malmö FF",0,1
"1992-05-21","Djurgårdens IF","AIK",1,1
"1992-05-24","Västra Frölunda IF","Djurgårdens IF",3,1
"1992-05-24","GAIS","Östers IF",2,2
"1992-05-24","AIK","IFK Göteborg",3,0
"1992-05-31","Östers IF","Malmö FF",0,2
"1992-05-31","Örebro SK","GAIS",2,0
"1992-05-31","Trelleborgs FF","Djurgårdens IF",0,0
"1992-05-31","IFK Göteborg","Västra Frölunda IF",2,0
"1992-05-31","AIK","IFK Norrköping",0,1
"1992-06-28","GAIS","Trelleborgs FF",0,1
"1992-06-29","Västra Frölunda IF","AIK",1,2
"1992-06-29","IFK Norrköping","Östers IF",6,2
"1992-06-29","Malmö FF","IFK Göteborg",1,0
"1992-06-29","Djurgårdens IF","Örebro SK",1,0
"1992-07-02","Östers IF","Trelleborgs FF",2,0
"1992-07-02","IFK Norrköping","Djurgårdens IF",3,1
"1992-07-02","Malmö FF","Västra Frölunda IF",1,0
"1992-07-02","GAIS","IFK Göteborg",3,0
"1992-07-02","AIK","Örebro SK",0,1
"1992-07-05","Örebro SK","IFK Norrköping",0,0
"1992-07-05","Västra Frölunda IF","GAIS",3,2
"1992-07-05","Trelleborgs FF","AIK",2,2
"1992-07-05","IFK Göteborg","Östers IF",0,1
"1992-07-05","Djurgårdens IF","Malmö FF",1,0
"1992-07-08","Västra Frölunda IF","Örebro SK",1,1
"1992-07-08","Malmö FF","Trelleborgs FF",1,1
"1992-07-09","IFK Norrköping","IFK Göteborg",4,1
"1992-07-09","GAIS","Djurgårdens IF",2,1
"1992-07-09","AIK","Östers IF",3,0
"1992-07-12","Östers IF","GAIS",9,0
"1992-07-12","Örebro SK","Malmö FF",2,2
"1992-07-12","Trelleborgs FF","IFK Norrköping",0,2
"1992-07-12","IFK Göteborg","AIK",0,1
"1992-07-12","Djurgårdens IF","Västra Frölunda IF",3,2
"1992-07-16","Östers IF","Djurgårdens IF",2,0
"1992-07-16","Trelleborgs FF","Västra Frölunda IF",1,0
"1992-07-16","IFK Norrköping","Malmö FF",1,0
"1992-07-16","IFK Göteborg","Örebro SK",3,1
"1992-07-16","AIK","GAIS",0,0
"1992-07-19","Örebro SK","Trelleborgs FF",1,1
"1992-07-19","Västra Frölunda IF","Östers IF",2,3
"1992-07-19","Malmö FF","AIK",2,0
"1992-07-19","GAIS","IFK Norrköping",0,3
"1992-07-19","Djurgårdens IF","IFK Göteborg",1,0
