"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1970-04-12","Östers IF","Örebro SK",0,2
"1970-04-12","Örgryte IS","Djurgårdens IF",1,1
"1970-04-12","AIK","Hammarby IF",1,1
"1970-04-14","GAIS","IFK Norrköping",3,2
"1970-04-16","Hammarby IF","Örgryte IS",1,1
"1970-04-19","Örebro SK","Åtvidabergs FF",0,1
"1970-04-19","IFK Norrköping","Östers IF",0,1
"1970-04-19","Malmö FF","GAIS",1,1
"1970-04-19","IFK Göteborg","AIK",0,2
"1970-04-19","Djurgårdens IF","IF Elfsborg",2,1
"1970-04-23","Örgryte IS","IFK Göteborg",2,1
"1970-04-23","Hammarby IF","Djurgårdens IF",0,2
"1970-04-24","Östers IF","Malmö FF",0,0
"1970-04-25","Åtvidabergs FF","IFK Norrköping",0,2
"1970-04-25","GAIS","IF Elfsborg",1,1
"1970-04-25","AIK","Örebro SK",0,2
"1970-04-28","Örebro SK","Örgryte IS",3,1
"1970-04-28","IFK Norrköping","AIK",1,2
"1970-04-28","Malmö FF","Åtvidabergs FF",3,1
"1970-04-28","IFK Göteborg","Hammarby IF",5,1
"1970-04-28","IF Elfsborg","Östers IF",2,2
"1970-04-28","Djurgårdens IF","GAIS",2,3
"1970-05-03","Örebro SK","IFK Norrköping",0,1
"1970-05-03","Åtvidabergs FF","Djurgårdens IF",3,1
"1970-05-03","Hammarby IF","IF Elfsborg",0,2
"1970-05-03","IFK Göteborg","Malmö FF",1,2
"1970-05-04","Örgryte IS","GAIS",0,0
"1970-05-04","AIK","Östers IF",0,0
"1970-05-07","Östers IF","Åtvidabergs FF",2,3
"1970-05-07","IFK Norrköping","IFK Göteborg",1,1
"1970-05-07","Malmö FF","Hammarby IF",2,0
"1970-05-07","GAIS","AIK",0,0
"1970-05-07","IF Elfsborg","Örgryte IS",0,0
"1970-05-07","Djurgårdens IF","Örebro SK",2,1
"1970-05-09","IFK Göteborg","IF Elfsborg",1,3
"1970-05-10","Örgryte IS","Östers IF",2,3
"1970-05-10","Örebro SK","Malmö FF",1,1
"1970-05-10","IFK Norrköping","Djurgårdens IF",0,0
"1970-05-10","Hammarby IF","GAIS",2,0
"1970-05-10","AIK","Åtvidabergs FF",0,0
"1970-05-13","Östers IF","Hammarby IF",1,0
"1970-05-13","Åtvidabergs FF","Örgryte IS",5,1
"1970-05-13","Malmö FF","IFK Norrköping",1,0
"1970-05-13","GAIS","IFK Göteborg",4,1
"1970-05-13","IF Elfsborg","Örebro SK",1,0
"1970-05-13","Djurgårdens IF","AIK",4,1
"1970-07-02","IF Elfsborg","Malmö FF",4,0
"1970-08-02","Åtvidabergs FF","IFK Göteborg",5,2
"1970-08-04","AIK","IF Elfsborg",3,0
"1970-08-05","Örgryte IS","Malmö FF",2,0
"1970-08-06","Östers IF","Djurgårdens IF",1,2
"1970-08-06","Åtvidabergs FF","GAIS",4,1
"1970-08-06","Hammarby IF","IFK Norrköping",2,1
"1970-08-06","IFK Göteborg","Örebro SK",2,0
"1970-08-12","Örebro SK","Hammarby IF",5,2
"1970-08-12","Malmö FF","AIK",5,1
"1970-08-12","GAIS","Östers IF",1,1
"1970-08-12","IF Elfsborg","Åtvidabergs FF",1,2
"1970-08-12","Djurgårdens IF","IFK Göteborg",3,3
"1970-08-13","IFK Norrköping","Örgryte IS",5,0
"1970-08-18","Östers IF","IFK Göteborg",1,2
"1970-08-18","Malmö FF","Djurgårdens IF",0,0
"1970-08-18","GAIS","Örebro SK",2,0
"1970-08-18","IF Elfsborg","IFK Norrköping",0,0
"1970-08-18","AIK","Örgryte IS",0,1
"1970-08-19","Åtvidabergs FF","Hammarby IF",1,0
"1970-08-23","Örebro SK","GAIS",5,0
"1970-08-23","IFK Norrköping","IF Elfsborg",6,0
"1970-08-23","IFK Göteborg","Östers IF",0,2
"1970-08-23","Djurgårdens IF","Malmö FF",3,0
"1970-08-24","Örgryte IS","AIK",0,1
"1970-08-27","Hammarby IF","Åtvidabergs FF",3,1
"1970-08-30","Östers IF","IF Elfsborg",2,2
"1970-08-30","Åtvidabergs FF","Malmö FF",0,2
"1970-08-30","Hammarby IF","IFK Göteborg",3,1
"1970-08-30","GAIS","Djurgårdens IF",1,3
"1970-08-31","Örgryte IS","Örebro SK",0,3
"1970-08-31","AIK","IFK Norrköping",2,1
"1970-09-02","Malmö FF","Östers IF",2,4
"1970-09-03","Örebro SK","AIK",1,0
"1970-09-03","IFK Göteborg","Örgryte IS",1,1
"1970-09-03","IF Elfsborg","GAIS",4,2
"1970-09-03","Djurgårdens IF","Hammarby IF",1,1
"1970-09-06","Östers IF","Örgryte IS",0,2
"1970-09-06","Åtvidabergs FF","AIK",0,2
"1970-09-06","Malmö FF","Örebro SK",1,0
"1970-09-06","GAIS","Hammarby IF",2,2
"1970-09-06","IF Elfsborg","IFK Göteborg",1,0
"1970-09-06","Djurgårdens IF","IFK Norrköping",1,3
"1970-09-09","Örebro SK","IF Elfsborg",0,1
"1970-09-09","IFK Göteborg","GAIS",4,1
"1970-09-09","AIK","Djurgårdens IF",1,0
"1970-09-10","IFK Norrköping","Malmö FF",1,1
"1970-09-16","Hammarby IF","Östers IF",3,1
"1970-09-17","Örgryte IS","Åtvidabergs FF",1,1
"1970-09-20","Östers IF","IFK Norrköping",0,0
"1970-09-20","Örgryte IS","Hammarby IF",1,4
"1970-09-20","Åtvidabergs FF","Örebro SK",1,0
"1970-09-20","IF Elfsborg","Djurgårdens IF",1,1
"1970-09-20","AIK","IFK Göteborg",0,0
"1970-09-24","IFK Norrköping","Åtvidabergs FF",1,1
"1970-09-24","Hammarby IF","AIK",2,0
"1970-09-24","GAIS","Malmö FF",0,1
"1970-09-27","Örebro SK","Östers IF",2,0
"1970-09-27","IFK Norrköping","GAIS",3,1
"1970-09-27","Malmö FF","IF Elfsborg",3,0
"1970-09-27","IFK Göteborg","Åtvidabergs FF",1,0
"1970-09-27","Djurgårdens IF","Örgryte IS",2,2
"1970-10-03","IFK Göteborg","IFK Norrköping",1,1
"1970-10-03","AIK","GAIS",1,2
"1970-10-04","Örgryte IS","IF Elfsborg",2,2
"1970-10-04","Örebro SK","Djurgårdens IF",2,2
"1970-10-04","Åtvidabergs FF","Östers IF",3,3
"1970-10-04","Hammarby IF","Malmö FF",1,1
"1970-10-11","Östers IF","AIK",1,0
"1970-10-11","IFK Norrköping","Örebro SK",3,2
"1970-10-11","Malmö FF","IFK Göteborg",2,0
"1970-10-11","GAIS","Örgryte IS",0,3
"1970-10-11","IF Elfsborg","Hammarby IF",1,1
"1970-10-11","Djurgårdens IF","Åtvidabergs FF",1,2
"1970-10-17","Hammarby IF","Örebro SK",3,1
"1970-10-17","IFK Göteborg","Djurgårdens IF",1,0
"1970-10-18","Östers IF","GAIS",3,0
"1970-10-18","Örgryte IS","IFK Norrköping",2,0
"1970-10-18","Åtvidabergs FF","IF Elfsborg",3,0
"1970-10-18","AIK","Malmö FF",0,0
"1970-10-25","Örebro SK","IFK Göteborg",1,0
"1970-10-25","IFK Norrköping","Hammarby IF",1,1
"1970-10-25","Malmö FF","Örgryte IS",2,0
"1970-10-25","GAIS","Åtvidabergs FF",2,3
"1970-10-25","IF Elfsborg","AIK",3,0
"1970-10-25","Djurgårdens IF","Östers IF",2,1
