"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1986-04-19","Djurgårdens IF","Kalmar FF",2,1
"1986-04-20","AIK","Malmö FF",2,5
"1986-04-20","Halmstads BK","IF Elfsborg",2,0
"1986-04-20","IFK Göteborg","Hammarby IF",3,1
"1986-04-27","Örgryte IS","Halmstads BK",3,0
"1986-04-27","Malmö FF","IFK Göteborg",1,1
"1986-04-27","Kalmar FF","IFK Norrköping",2,1
"1986-04-27","Hammarby IF","Östers IF",1,1
"1986-04-27","IF Elfsborg","Djurgårdens IF",4,0
"1986-04-27","IK Brage","AIK",0,0
"1986-05-04","Östers IF","IK Brage",0,0
"1986-05-04","Halmstads BK","Malmö FF",2,2
"1986-05-04","IFK Göteborg","IFK Norrköping",2,1
"1986-05-04","IF Elfsborg","Örgryte IS",1,2
"1986-05-04","AIK","Kalmar FF",0,0
"1986-05-05","Djurgårdens IF","Hammarby IF",1,3
"1986-05-08","Östers IF","Örgryte IS",1,1
"1986-05-08","IFK Norrköping","IK Brage",2,0
"1986-05-11","Örgryte IS","Djurgårdens IF",0,1
"1986-05-11","IFK Norrköping","AIK",0,0
"1986-05-11","Malmö FF","Östers IF",4,1
"1986-05-11","Kalmar FF","IF Elfsborg",0,0
"1986-05-11","Hammarby IF","Halmstads BK",3,0
"1986-05-11","IK Brage","IFK Göteborg",1,2
"1986-05-18","Hammarby IF","IK Brage",1,0
"1986-05-19","Örgryte IS","IFK Norrköping",3,1
"1986-05-19","Kalmar FF","Malmö FF",0,0
"1986-05-19","Halmstads BK","Östers IF",3,1
"1986-05-19","IF Elfsborg","AIK",0,1
"1986-05-19","Djurgårdens IF","IFK Göteborg",0,4
"1986-05-22","Östers IF","Kalmar FF",1,0
"1986-05-22","IFK Norrköping","IF Elfsborg",4,0
"1986-05-22","Malmö FF","Hammarby IF",5,0
"1986-05-22","IFK Göteborg","Halmstads BK",4,0
"1986-05-22","IK Brage","Örgryte IS",1,1
"1986-05-22","AIK","Djurgårdens IF",3,2
