"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1998-04-04","Hammarby IF","Örebro SK",3,1
"1998-04-05","Trelleborgs FF","Halmstads BK",1,3
"1998-04-06","Helsingborgs IF","BK Häcken",0,0
"1998-04-13","Örebro SK","IFK Norrköping",1,3
"1998-04-13","Malmö FF","Hammarby IF",2,2
"1998-04-13","BK Häcken","Örgryte IS",0,2
"1998-04-13","Halmstads BK","Östers IF",1,2
"1998-04-13","IF Elfsborg","Helsingborgs IF",0,1
"1998-04-13","AIK","Trelleborgs FF",1,1
"1998-04-14","IFK Göteborg","Västra Frölunda IF",1,2
"1998-04-18","Västra Frölunda IF","Östers IF",3,0
"1998-04-18","AIK","Halmstads BK",1,0
"1998-04-19","Örgryte IS","IF Elfsborg",2,2
"1998-04-19","Trelleborgs FF","BK Häcken",0,1
"1998-04-19","IFK Norrköping","Malmö FF",2,1
"1998-04-19","Helsingborgs IF","Örebro SK",0,0
"1998-04-19","Hammarby IF","IFK Göteborg",1,1
"1998-04-26","Östers IF","Hammarby IF",1,1
"1998-04-26","BK Häcken","AIK",1,1
"1998-04-26","Halmstads BK","Västra Frölunda IF",1,0
"1998-04-27","Örebro SK","Örgryte IS",1,1
"1998-04-27","IFK Göteborg","IFK Norrköping",0,0
"1998-04-27","IF Elfsborg","Trelleborgs FF",1,1
"1998-04-28","Malmö FF","Helsingborgs IF",1,1
"1998-05-03","Trelleborgs FF","Örebro SK",1,0
"1998-05-03","IFK Norrköping","Östers IF",1,0
"1998-05-03","AIK","IF Elfsborg",1,1
"1998-05-04","Örgryte IS","Malmö FF",2,0
"1998-05-04","Helsingborgs IF","IFK Göteborg",0,1
"1998-05-04","Hammarby IF","Västra Frölunda IF",0,1
"1998-05-05","BK Häcken","Halmstads BK",3,2
"1998-05-07","Västra Frölunda IF","Malmö FF",1,3
"1998-05-07","IFK Norrköping","IF Elfsborg",1,1
"1998-05-10","Östers IF","Helsingborgs IF",1,3
"1998-05-10","Örebro SK","AIK",1,1
"1998-05-11","Malmö FF","Trelleborgs FF",0,1
"1998-05-11","Halmstads BK","Hammarby IF",1,3
"1998-05-11","IFK Göteborg","Örgryte IS",2,5
"1998-05-11","IF Elfsborg","BK Häcken",2,0
"1998-05-12","Västra Frölunda IF","IFK Norrköping",3,2
"1998-05-14","Östers IF","IFK Göteborg",1,1
"1998-05-17","Örgryte IS","Helsingborgs IF",0,2
"1998-05-17","Örebro SK","IFK Göteborg",4,0
"1998-05-17","Trelleborgs FF","IFK Norrköping",0,0
"1998-05-18","Malmö FF","Halmstads BK",5,0
"1998-05-18","BK Häcken","Västra Frölunda IF",0,1
"1998-05-18","IF Elfsborg","Östers IF",2,1
"1998-05-19","AIK","Hammarby IF",0,1
"1998-06-03","Västra Frölunda IF","IF Elfsborg",1,1
"1998-06-03","Hammarby IF","BK Häcken",3,3
"1998-06-04","Östers IF","Örebro SK",1,2
"1998-06-04","IFK Norrköping","AIK",2,0
"1998-06-04","Helsingborgs IF","Trelleborgs FF",3,0
"1998-06-04","Halmstads BK","Örgryte IS",2,1
"1998-06-04","IFK Göteborg","Malmö FF",1,0
"1998-06-07","Örgryte IS","Hammarby IF",0,1
"1998-06-07","Örebro SK","Halmstads BK",3,2
"1998-06-07","Trelleborgs FF","Västra Frölunda IF",3,0
"1998-06-08","BK Häcken","IFK Göteborg",1,1
"1998-06-08","Helsingborgs IF","IFK Norrköping",1,1
"1998-06-08","AIK","Östers IF",1,1
"1998-06-09","IF Elfsborg","Malmö FF",2,1
"1998-06-11","Örgryte IS","AIK",0,1
"1998-06-14","Östers IF","BK Häcken",0,2
"1998-06-14","IFK Norrköping","Örgryte IS",1,1
"1998-06-14","Hammarby IF","Trelleborgs FF",1,0
"1998-06-14","IFK Göteborg","IF Elfsborg",1,0
"1998-06-15","Västra Frölunda IF","AIK",1,1
"1998-06-15","Malmö FF","Örebro SK",1,3
"1998-06-15","Halmstads BK","Helsingborgs IF",1,0
"1998-06-17","Örgryte IS","Östers IF",4,4
"1998-06-21","Trelleborgs FF","IFK Göteborg",0,2
"1998-06-21","Helsingborgs IF","Västra Frölunda IF",6,2
"1998-06-22","IFK Norrköping","Hammarby IF",1,2
"1998-06-23","IF Elfsborg","Halmstads BK",3,4
"1998-06-24","BK Häcken","Örebro SK",2,4
"1998-06-24","AIK","Malmö FF",1,0
"1998-06-28","Östers IF","Trelleborgs FF",2,2
"1998-06-28","Malmö FF","BK Häcken",4,0
"1998-06-28","Halmstads BK","IFK Norrköping",3,1
"1998-06-29","Örebro SK","IF Elfsborg",4,2
"1998-06-29","Hammarby IF","Helsingborgs IF",3,3
"1998-06-29","IFK Göteborg","AIK",0,1
"1998-07-01","Västra Frölunda IF","Örgryte IS",1,0
"1998-07-18","Östers IF","Malmö FF",2,1
"1998-07-18","IFK Göteborg","Halmstads BK",1,2
"1998-07-19","Trelleborgs FF","Örgryte IS",2,1
"1998-07-20","IFK Norrköping","BK Häcken",5,1
"1998-07-20","Helsingborgs IF","AIK",0,1
"1998-07-20","Hammarby IF","IF Elfsborg",1,0
"1998-07-22","Västra Frölunda IF","Örebro SK",1,1
"1998-08-01","Malmö FF","IFK Göteborg",3,1
"1998-08-02","Örebro SK","Östers IF",2,1
"1998-08-02","BK Häcken","Hammarby IF",4,3
"1998-08-03","Örgryte IS","Halmstads BK",2,2
"1998-08-03","IF Elfsborg","Västra Frölunda IF",0,2
"1998-08-03","AIK","IFK Norrköping",1,1
"1998-08-04","Trelleborgs FF","Helsingborgs IF",4,2
"1998-08-06","Halmstads BK","Malmö FF",2,1
"1998-08-08","IFK Göteborg","Örebro SK",2,0
"1998-08-09","Östers IF","IF Elfsborg",2,3
"1998-08-09","Helsingborgs IF","Örgryte IS",2,1
"1998-08-10","Västra Frölunda IF","BK Häcken",1,1
"1998-08-10","IFK Norrköping","Trelleborgs FF",3,0
"1998-08-10","Hammarby IF","AIK",0,2
"1998-08-16","Örgryte IS","IFK Norrköping",1,1
"1998-08-16","Örebro SK","Malmö FF",0,0
"1998-08-16","Trelleborgs FF","Hammarby IF",1,1
"1998-08-16","BK Häcken","Östers IF",0,1
"1998-08-16","Helsingborgs IF","Halmstads BK",1,0
"1998-08-16","IF Elfsborg","IFK Göteborg",1,0
"1998-08-16","AIK","Västra Frölunda IF",0,0
"1998-08-22","Malmö FF","IF Elfsborg",0,4
"1998-08-22","Halmstads BK","Örebro SK",2,0
"1998-08-22","IFK Göteborg","BK Häcken",1,1
"1998-08-23","IFK Norrköping","Helsingborgs IF",3,4
"1998-08-24","Östers IF","AIK",1,2
"1998-08-24","Västra Frölunda IF","Trelleborgs FF",3,1
"1998-08-24","Hammarby IF","Örgryte IS",1,0
"1998-08-30","Örebro SK","Västra Frölunda IF",1,1
"1998-08-30","BK Häcken","IFK Norrköping",0,1
"1998-08-30","Halmstads BK","IFK Göteborg",1,1
"1998-08-31","Örgryte IS","Trelleborgs FF",1,2
"1998-08-31","Malmö FF","Östers IF",2,0
"1998-08-31","IF Elfsborg","Hammarby IF",0,1
"1998-08-31","AIK","Helsingborgs IF",1,1
"1998-09-10","IFK Norrköping","Halmstads BK",4,6
"1998-09-10","BK Häcken","Malmö FF",2,1
"1998-09-10","AIK","IFK Göteborg",1,0
"1998-09-13","Helsingborgs IF","Hammarby IF",2,2
"1998-09-14","Örgryte IS","Västra Frölunda IF",2,0
"1998-09-14","Trelleborgs FF","Östers IF",2,0
"1998-09-14","IF Elfsborg","Örebro SK",0,1
"1998-09-20","Östers IF","Örgryte IS",0,1
"1998-09-20","Västra Frölunda IF","Helsingborgs IF",0,0
"1998-09-20","Hammarby IF","IFK Norrköping",3,2
"1998-09-20","IFK Göteborg","Trelleborgs FF",1,0
"1998-09-21","Örebro SK","BK Häcken",1,0
"1998-09-21","Malmö FF","AIK",0,0
"1998-09-21","Halmstads BK","IF Elfsborg",0,3
"1998-09-24","IFK Norrköping","IFK Göteborg",0,1
"1998-09-24","Helsingborgs IF","Malmö FF",1,2
"1998-09-26","Västra Frölunda IF","Halmstads BK",0,1
"1998-09-28","Örgryte IS","Örebro SK",2,0
"1998-09-28","Trelleborgs FF","IF Elfsborg",2,2
"1998-09-28","AIK","BK Häcken",2,1
"1998-09-29","Hammarby IF","Östers IF",0,1
"1998-10-04","Östers IF","Västra Frölunda IF",1,0
"1998-10-04","BK Häcken","Trelleborgs FF",0,5
"1998-10-04","Halmstads BK","AIK",1,1
"1998-10-05","Malmö FF","IFK Norrköping",1,0
"1998-10-05","IFK Göteborg","Hammarby IF",2,2
"1998-10-05","IF Elfsborg","Örgryte IS",2,2
"1998-10-06","Örebro SK","Helsingborgs IF",1,3
"1998-10-18","Trelleborgs FF","Malmö FF",0,0
"1998-10-18","Helsingborgs IF","Östers IF",3,1
"1998-10-19","IFK Norrköping","Västra Frölunda IF",1,3
"1998-10-19","AIK","Örebro SK",2,0
"1998-10-20","Örgryte IS","IFK Göteborg",1,2
"1998-10-21","Hammarby IF","Halmstads BK",1,1
"1998-10-22","BK Häcken","IF Elfsborg",0,2
"1998-10-25","Östers IF","IFK Norrköping",0,2
"1998-10-25","Örebro SK","Trelleborgs FF",4,2
"1998-10-25","Västra Frölunda IF","Hammarby IF",2,1
"1998-10-26","Malmö FF","Örgryte IS",3,1
"1998-10-26","Halmstads BK","BK Häcken",0,1
"1998-10-26","IF Elfsborg","AIK",1,1
"1998-10-27","IFK Göteborg","Helsingborgs IF",0,1
"1998-10-31","Östers IF","Halmstads BK",1,1
"1998-10-31","Örgryte IS","BK Häcken",2,1
"1998-10-31","Västra Frölunda IF","IFK Göteborg",0,3
"1998-10-31","Trelleborgs FF","AIK",0,0
"1998-10-31","IFK Norrköping","Örebro SK",4,0
"1998-10-31","Helsingborgs IF","IF Elfsborg",2,0
"1998-10-31","Hammarby IF","Malmö FF",1,3
"1998-11-08","Örebro SK","Hammarby IF",0,1
"1998-11-08","Malmö FF","Västra Frölunda IF",0,0
"1998-11-08","BK Häcken","Helsingborgs IF",2,1
"1998-11-08","Halmstads BK","Trelleborgs FF",3,0
"1998-11-08","IFK Göteborg","Östers IF",1,1
"1998-11-08","IF Elfsborg","IFK Norrköping",1,1
"1998-11-08","AIK","Örgryte IS",1,0
