"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"2013-03-31","BK Häcken","IFK Göteborg",0,3
"2013-03-31","Syrianska FC","Kalmar FF",0,3
"2013-03-31","Helsingborgs IF","Djurgårdens IF",3,0
"2013-04-01","Gefle IF","Åtvidabergs FF",1,0
"2013-04-01","Malmö FF","Halmstads BK",1,1
"2013-04-01","Mjällby AIF","IFK Norrköping",1,2
"2013-04-01","IF Elfsborg","AIK",2,2
"2013-04-01","IF Brommapojkarna","Östers IF",2,2
"2013-04-05","Åtvidabergs FF","Malmö FF",1,3
"2013-04-07","IFK Göteborg","IF Brommapojkarna",2,0
"2013-04-07","AIK","Syrianska FC",0,0
"2013-04-07","Halmstads BK","IF Elfsborg",1,1
"2013-04-07","Kalmar FF","BK Häcken",0,0
"2013-04-08","Djurgårdens IF","Mjällby AIF",0,3
"2013-04-08","IFK Norrköping","Gefle IF",2,1
"2013-04-08","Östers IF","Helsingborgs IF",1,1
"2013-04-12","IF Brommapojkarna","IFK Norrköping",1,0
"2013-04-13","Syrianska FC","Östers IF",0,1
"2013-04-14","Åtvidabergs FF","AIK",1,0
"2013-04-14","Malmö FF","Kalmar FF",1,0
"2013-04-14","Gefle IF","Halmstads BK",2,0
"2013-04-14","BK Häcken","Djurgårdens IF",4,0
"2013-04-15","Helsingborgs IF","Mjällby AIF",1,2
"2013-04-15","IF Elfsborg","IFK Göteborg",0,0
"2013-04-17","Halmstads BK","Åtvidabergs FF",0,0
"2013-04-17","Östers IF","BK Häcken",2,0
"2013-04-17","AIK","Malmö FF",0,1
"2013-04-18","IFK Göteborg","Syrianska FC",2,0
"2013-04-18","Mjällby AIF","Gefle IF",1,0
"2013-04-18","Kalmar FF","IF Elfsborg",1,1
"2013-04-18","Djurgårdens IF","IF Brommapojkarna",1,1
"2013-04-18","IFK Norrköping","Helsingborgs IF",1,4
"2013-04-21","Halmstads BK","Kalmar FF",1,2
"2013-04-21","Åtvidabergs FF","IFK Göteborg",1,2
"2013-04-21","IF Brommapojkarna","Helsingborgs IF",0,2
"2013-04-21","BK Häcken","Mjällby AIF",2,0
"2013-04-22","Gefle IF","AIK",1,2
"2013-04-22","Malmö FF","Östers IF",2,0
"2013-04-22","Syrianska FC","IFK Norrköping",3,1
"2013-04-22","IF Elfsborg","Djurgårdens IF",2,0
"2013-04-25","IFK Göteborg","Malmö FF",1,1
"2013-04-26","IFK Norrköping","BK Häcken",4,2
"2013-04-27","Helsingborgs IF","Gefle IF",5,1
"2013-04-27","Kalmar FF","Åtvidabergs FF",0,0
"2013-04-27","Djurgårdens IF","Syrianska FC",0,1
"2013-04-28","Mjällby AIF","IF Brommapojkarna",4,2
"2013-04-28","AIK","Halmstads BK",3,3
"2013-04-28","Östers IF","IF Elfsborg",1,3
"2013-05-03","Malmö FF","IFK Norrköping",1,1
"2013-05-04","Åtvidabergs FF","Djurgårdens IF",5,1
"2013-05-05","IF Elfsborg","Mjällby AIF",2,1
"2013-05-05","Halmstads BK","Östers IF",1,0
"2013-05-05","Syrianska FC","Helsingborgs IF",0,1
"2013-05-06","BK Häcken","IF Brommapojkarna",1,0
"2013-05-06","Gefle IF","Kalmar FF",1,1
"2013-05-06","AIK","IFK Göteborg",3,1
"2013-05-10","IFK Norrköping","IF Elfsborg",1,2
"2013-05-11","IFK Göteborg","Halmstads BK",1,0
"2013-05-12","Mjällby AIF","Syrianska FC",4,1
"2013-05-12","Kalmar FF","AIK",2,1
"2013-05-12","Djurgårdens IF","Malmö FF",3,2
"2013-05-13","IF Brommapojkarna","Gefle IF",4,1
"2013-05-13","Östers IF","Åtvidabergs FF",0,1
"2013-05-13","Helsingborgs IF","BK Häcken",5,0
"2013-05-17","Mjällby AIF","Malmö FF",2,2
"2013-05-18","IF Brommapojkarna","Syrianska FC",1,1
"2013-05-19","BK Häcken","Gefle IF",2,2
"2013-05-19","Östers IF","AIK",2,3
"2013-05-19","IFK Norrköping","Åtvidabergs FF",2,1
"2013-05-19","IFK Göteborg","Kalmar FF",2,0
"2013-05-19","Djurgårdens IF","Halmstads BK",1,0
"2013-05-20","Helsingborgs IF","IF Elfsborg",2,1
"2013-05-22","Gefle IF","IFK Göteborg",1,1
"2013-05-22","AIK","Djurgårdens IF",1,1
"2013-05-23","Syrianska FC","BK Häcken",0,3
"2013-05-23","Åtvidabergs FF","Mjällby AIF",3,0
"2013-05-23","Halmstads BK","IFK Norrköping",1,1
"2013-05-23","IF Elfsborg","IF Brommapojkarna",6,0
"2013-05-23","Kalmar FF","Östers IF",3,1
"2013-05-28","Syrianska FC","Gefle IF",2,2
"2013-05-29","Malmö FF","Helsingborgs IF",1,1
"2013-05-30","Djurgårdens IF","Kalmar FF",1,0
"2013-05-30","IFK Norrköping","AIK",0,1
"2013-05-31","Östers IF","IFK Göteborg",2,0
"2013-06-01","IF Brommapojkarna","Malmö FF",1,3
"2013-06-01","BK Häcken","IF Elfsborg",0,1
"2013-06-01","Helsingborgs IF","Åtvidabergs FF",3,0
