"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"2016-04-02","Malmö FF","IFK Norrköping",3,1
"2016-04-02","Kalmar FF","Jönköpings Södra IF",0,1
"2016-04-03","BK Häcken","IF Elfsborg",2,1
"2016-04-03","AIK","GIF Sundsvall",1,1
"2016-04-03","Gefle IF","Helsingborgs IF",1,1
"2016-04-03","Falkenbergs FF","IFK Göteborg",0,2
"2016-04-03","Örebro SK","Djurgårdens IF",0,2
"2016-04-04","Hammarby IF","Östersunds FK",1,1
"2016-04-06","Jönköpings Södra IF","Malmö FF",3,2
"2016-04-06","IFK Norrköping","Kalmar FF",4,1
"2016-04-06","IFK Göteborg","BK Häcken",1,0
"2016-04-07","Östersunds FK","AIK",0,2
"2016-04-07","GIF Sundsvall","Gefle IF",1,2
"2016-04-07","Helsingborgs IF","Örebro SK",1,3
"2016-04-07","IF Elfsborg","Hammarby IF",4,1
"2016-04-07","Djurgårdens IF","Falkenbergs FF",5,0
"2016-04-09","BK Häcken","IFK Norrköping",1,2
"2016-04-10","Hammarby IF","Helsingborgs IF",5,1
"2016-04-10","Gefle IF","Djurgårdens IF",1,2
"2016-04-10","Kalmar FF","IF Elfsborg",3,2
"2016-04-10","Falkenbergs FF","Östersunds FK",1,2
"2016-04-11","AIK","IFK Göteborg",3,3
"2016-04-11","Malmö FF","GIF Sundsvall",1,2
"2016-04-11","Örebro SK","Jönköpings Södra IF",2,1
"2016-04-15","Östersunds FK","BK Häcken",2,1
"2016-04-16","Helsingborgs IF","Falkenbergs FF",3,1
"2016-04-17","IFK Norrköping","AIK",4,1
"2016-04-17","Jönköpings Södra IF","Gefle IF",1,0
"2016-04-17","IFK Göteborg","Kalmar FF",1,1
"2016-04-18","IF Elfsborg","Malmö FF",0,1
"2016-04-18","GIF Sundsvall","Örebro SK",3,1
"2016-04-19","Djurgårdens IF","Hammarby IF",1,3
"2016-04-22","Falkenbergs FF","IFK Norrköping",2,1
"2016-04-23","Hammarby IF","Jönköpings Södra IF",1,1
"2016-04-23","Gefle IF","Östersunds FK",0,0
"2016-04-24","Malmö FF","Djurgårdens IF",1,0
"2016-04-24","BK Häcken","GIF Sundsvall",0,1
"2016-04-24","Örebro SK","IFK Göteborg",3,2
"2016-04-25","AIK","IF Elfsborg",2,1
"2016-04-25","Kalmar FF","Helsingborgs IF",2,3
"2016-04-26","IFK Norrköping","Hammarby IF",3,1
"2016-04-27","Östersunds FK","Örebro SK",2,4
"2016-04-27","Jönköpings Södra IF","Falkenbergs FF",1,1
"2016-04-27","IFK Göteborg","Malmö FF",0,3
"2016-04-28","GIF Sundsvall","Kalmar FF",1,1
"2016-04-28","BK Häcken","Gefle IF",6,1
"2016-04-28","Helsingborgs IF","AIK",2,1
"2016-04-28","IF Elfsborg","Djurgårdens IF",3,0
"2016-05-01","Falkenbergs FF","IF Elfsborg",1,2
"2016-05-01","Hammarby IF","GIF Sundsvall",1,1
"2016-05-01","Malmö FF","BK Häcken",3,0
"2016-05-02","IFK Norrköping","Helsingborgs IF",3,0
"2016-05-02","Kalmar FF","Örebro SK",3,2
"2016-05-02","AIK","Jönköpings Södra IF",0,0
"2016-05-02","Gefle IF","IFK Göteborg",2,6
"2016-05-02","Djurgårdens IF","Östersunds FK",3,0
"2016-05-07","Östersunds FK","Kalmar FF",1,0
"2016-05-07","IF Elfsborg","Gefle IF",2,0
"2016-05-08","Jönköpings Södra IF","IFK Norrköping",0,2
"2016-05-08","Helsingborgs IF","Malmö FF",2,1
"2016-05-08","BK Häcken","AIK",2,3
"2016-05-09","Örebro SK","Hammarby IF",3,2
"2016-05-09","GIF Sundsvall","Falkenbergs FF",2,1
"2016-05-09","IFK Göteborg","Djurgårdens IF",2,1
"2016-05-13","Jönköpings Södra IF","Helsingborgs IF",1,1
"2016-05-14","Malmö FF","Gefle IF",3,0
"2016-05-14","Kalmar FF","Hammarby IF",1,1
"2016-05-15","IFK Norrköping","GIF Sundsvall",3,1
"2016-05-15","Örebro SK","IF Elfsborg",1,0
"2016-05-15","Östersunds FK","IFK Göteborg",2,0
"2016-05-15","Falkenbergs FF","BK Häcken",1,4
"2016-05-16","AIK","Djurgårdens IF",2,0
"2016-05-18","Hammarby IF","Malmö FF",2,3
"2016-05-18","GIF Sundsvall","IF Elfsborg",1,3
"2016-05-18","BK Häcken","Jönköpings Södra IF",3,1
"2016-05-18","Helsingborgs IF","Östersunds FK",1,1
"2016-05-19","IFK Göteborg","IFK Norrköping",1,1
"2016-05-19","Gefle IF","Örebro SK",0,4
"2016-05-19","Djurgårdens IF","Kalmar FF",0,3
"2016-05-20","Falkenbergs FF","AIK",2,3
"2016-05-21","GIF Sundsvall","Östersunds FK",5,0
"2016-05-22","Kalmar FF","BK Häcken",1,1
"2016-05-22","Örebro SK","IFK Norrköping",2,2
"2016-05-22","IF Elfsborg","Jönköpings Södra IF",3,3
"2016-05-22","Djurgårdens IF","Helsingborgs IF",3,0
"2016-05-23","Gefle IF","AIK",0,1
"2016-05-23","IFK Göteborg","Hammarby IF",2,1
"2016-05-23","Malmö FF","Falkenbergs FF",2,0
"2016-05-28","Östersunds FK","Malmö FF",1,4
"2016-05-28","Jönköpings Södra IF","GIF Sundsvall",1,1
"2016-05-28","AIK","Örebro SK",0,0
"2016-05-29","Hammarby IF","Gefle IF",2,1
"2016-05-29","Helsingborgs IF","IFK Göteborg",1,3
"2016-05-29","Falkenbergs FF","Kalmar FF",1,2
"2016-05-29","IFK Norrköping","IF Elfsborg",0,0
"2016-05-29","BK Häcken","Djurgårdens IF",3,1
"2016-07-09","Djurgårdens IF","IFK Norrköping",0,1
"2016-07-09","BK Häcken","Hammarby IF",4,2
"2016-07-09","Gefle IF","Falkenbergs FF",1,2
"2016-07-10","IFK Göteborg","GIF Sundsvall",4,1
"2016-07-10","Östersunds FK","Jönköpings Södra IF",1,0
"2016-07-10","Helsingborgs IF","IF Elfsborg",2,4
"2016-07-10","Kalmar FF","AIK",1,1
"2016-07-11","Malmö FF","Örebro SK",1,0
"2016-07-16","IFK Norrköping","Östersunds FK",3,3
"2016-07-16","GIF Sundsvall","Helsingborgs IF",0,2
"2016-07-17","IF Elfsborg","IFK Göteborg",1,1
"2016-07-17","AIK","Malmö FF",1,1
"2016-07-17","Hammarby IF","Falkenbergs FF",3,3
