"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1931-08-02","IK Sleipner","IFK Malmö",4,0
"1931-08-02","Malmö FF","IFK Göteborg",0,1
"1931-08-02","Landskrona BoIS","Örgryte IS",3,7
"1931-08-02","Hallstahammars SK","AIK",1,3
"1931-08-02","GAIS","IFK Eskilstuna",1,3
"1931-08-02","IF Elfsborg","Helsingborgs IF",1,0
"1931-08-07","IFK Göteborg","GAIS",1,2
"1931-08-09","Örgryte IS","IFK Malmö",4,1
"1931-08-09","IK Sleipner","IF Elfsborg",2,3
"1931-08-09","Malmö FF","AIK",2,4
"1931-08-09","Helsingborgs IF","Hallstahammars SK",0,1
"1931-08-09","IFK Eskilstuna","Landskrona BoIS",7,0
"1931-08-12","Malmö FF","Landskrona BoIS",6,1
"1931-08-14","GAIS","Örgryte IS",2,2
"1931-08-14","AIK","IFK Eskilstuna",2,1
"1931-08-16","IFK Malmö","IF Elfsborg",2,1
"1931-08-16","Hallstahammars SK","Malmö FF",4,0
"1931-08-16","IFK Göteborg","IK Sleipner",5,2
"1931-08-19","Helsingborgs IF","IFK Malmö",2,2
"1931-08-21","Örgryte IS","IFK Göteborg",0,1
"1931-08-23","IFK Malmö","Malmö FF",1,2
"1931-08-23","Helsingborgs IF","Örgryte IS",3,5
"1931-08-23","Hallstahammars SK","IFK Eskilstuna",3,4
"1931-08-23","GAIS","Landskrona BoIS",2,0
"1931-08-23","IF Elfsborg","AIK",1,2
"1931-08-26","Landskrona BoIS","Helsingborgs IF",1,0
"1931-08-30","Örgryte IS","Malmö FF",1,2
"1931-08-30","IK Sleipner","Helsingborgs IF",3,0
"1931-08-30","IFK Malmö","AIK",1,1
"1931-08-30","Hallstahammars SK","Landskrona BoIS",2,2
"1931-08-30","IFK Eskilstuna","IFK Göteborg",1,0
"1931-08-30","IF Elfsborg","GAIS",1,1
"1931-09-06","IFK Malmö","GAIS",2,2
"1931-09-06","Landskrona BoIS","IK Sleipner",0,0
"1931-09-06","IFK Göteborg","IF Elfsborg",4,1
"1931-09-06","IFK Eskilstuna","Helsingborgs IF",2,3
"1931-09-06","AIK","Hallstahammars SK",7,1
"1931-09-13","IK Sleipner","Örgryte IS",2,0
"1931-09-13","Malmö FF","IFK Eskilstuna",2,3
"1931-09-13","Landskrona BoIS","IFK Malmö",4,2
"1931-09-13","Hallstahammars SK","Helsingborgs IF",1,2
"1931-09-13","GAIS","AIK",2,2
"1931-09-13","IF Elfsborg","IFK Göteborg",2,3
"1931-09-20","Örgryte IS","IF Elfsborg",3,2
"1931-09-20","IK Sleipner","GAIS",2,2
