"Date","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1978-04-08","Hammarby IF","Kalmar FF",0,1
"1978-04-09","Djurgårdens IF","Örebro SK",2,0
"1978-04-09","Östers IF","Västerås SK",2,0
"1978-04-09","IFK Norrköping","IF Elfsborg",1,1
"1978-04-09","Malmö FF","AIK",3,1
"1978-04-09","Halmstads BK","Åtvidabergs FF",1,0
"1978-04-09","IFK Göteborg","Landskrona BoIS",2,1
"1978-04-15","Örebro SK","Malmö FF",1,2
"1978-04-15","Åtvidabergs FF","Djurgårdens IF",1,3
"1978-04-15","Västerås SK","Hammarby IF",0,0
"1978-04-15","Landskrona BoIS","IFK Norrköping",0,2
"1978-04-15","Kalmar FF","Halmstads BK",3,2
"1978-04-15","IF Elfsborg","Östers IF",2,2
"1978-04-15","AIK","IFK Göteborg",0,2
"1978-04-22","IFK Göteborg","Djurgårdens IF",2,1
"1978-04-23","Östers IF","Åtvidabergs FF",3,0
"1978-04-23","Västerås SK","AIK",0,2
"1978-04-23","IFK Norrköping","Halmstads BK",0,0
"1978-04-23","Malmö FF","Kalmar FF",0,0
"1978-04-23","Hammarby IF","Örebro SK",3,0
"1978-04-23","IF Elfsborg","Landskrona BoIS",1,1
"1978-04-30","Örebro SK","Östers IF",1,1
"1978-04-30","Landskrona BoIS","Västerås SK",2,0
"1978-04-30","Kalmar FF","IF Elfsborg",2,1
"1978-04-30","Halmstads BK","IFK Göteborg",1,0
"1978-04-30","Djurgårdens IF","Malmö FF",0,2
"1978-05-01","Åtvidabergs FF","IFK Norrköping",1,3
"1978-05-04","Östers IF","Halmstads BK",2,2
"1978-05-04","Västerås SK","Örebro SK",4,2
"1978-05-04","IFK Norrköping","Djurgårdens IF",2,1
"1978-05-04","Landskrona BoIS","Kalmar FF",1,1
"1978-05-04","Hammarby IF","Åtvidabergs FF",2,1
"1978-05-04","IFK Göteborg","Malmö FF",0,1
"1978-05-04","IF Elfsborg","AIK",3,1
"1978-05-07","Örebro SK","IF Elfsborg",5,2
"1978-05-07","Åtvidabergs FF","Västerås SK",3,1
"1978-05-07","Malmö FF","IFK Norrköping",2,0
"1978-05-07","Kalmar FF","IFK Göteborg",0,1
"1978-05-07","Halmstads BK","Hammarby IF",1,0
"1978-05-07","AIK","Landskrona BoIS",0,1
"1978-05-08","Djurgårdens IF","Östers IF",1,2
"1978-05-11","Östers IF","Hammarby IF",3,0
"1978-05-11","Åtvidabergs FF","Kalmar FF",2,3
"1978-05-11","IFK Norrköping","Västerås SK",5,0
"1978-05-11","Malmö FF","Landskrona BoIS",2,0
"1978-05-11","Halmstads BK","Örebro SK",2,0
"1978-05-11","IFK Göteborg","IF Elfsborg",1,0
"1978-05-11","Djurgårdens IF","AIK",0,0
